,# of features removed,AOPC-global,percents-remove
0,0,0.0,5
1,1,0.0022115390840437873,5
2,2,0.006129904198621347,5
3,3,0.009517575629501287,5
4,4,0.015106727252576304,5
5,5,0.02106555148249147,5
6,6,0.025415607296869973,5
7,7,0.02912966113212277,5
8,8,0.03334347220121568,5
9,9,0.03698015951930577,5
10,10,0.0405290125387165,5
11,11,0.04365856947652921,5
12,12,0.046330784534238806,5
13,13,0.04895361999526186,5
14,14,0.051506740493348795,5
15,15,0.05386653481892223,5
16,16,0.05619155915478538,5
17,17,0.058643960814054444,5
18,18,0.06086900733937599,5
19,19,0.0628476836870107,5
20,20,0.0647101416606593,5
21,21,0.066403640157674,5
22,22,0.06807763669241608,5
23,23,0.06975489138108742,5
24,24,0.07130493956053113,5
25,25,0.07282445315126782,5
26,26,0.07444200909614948,5
27,27,0.07605081544181087,5
28,28,0.07758431886146164,5
29,29,0.07900344805967868,5
30,30,0.08035603583527337,5
0,0,0.0,10
1,1,0.0022115390840437873,10
2,2,0.006129904198621347,10
3,3,0.011279597091015264,10
4,4,0.015574456121212572,10
5,5,0.02145532553968836,10
6,6,0.025940330245398557,10
7,7,0.0307775541919262,10
8,8,0.03460808615704241,10
9,9,0.0380587602290029,10
10,10,0.04146306473773769,10
11,11,0.04468782303365468,10
12,12,0.047737357563736385,10
13,13,0.050801271102183194,10
14,14,0.05363503261360654,10
15,15,0.05615111042294399,10
16,16,0.05870422234829418,10
17,17,0.06108609037700387,10
18,18,0.0633398647653368,10
19,19,0.0653813358360539,10
20,20,0.06730074535155117,10
21,21,0.06902163684802087,10
22,22,0.07040082157426547,10
23,23,0.07164943838968131,10
24,24,0.0729520591866457,10
25,25,0.07427613003389805,10
26,26,0.07554993679234226,10
27,27,0.07686629120044897,10
28,28,0.07812191320378412,10
29,29,0.0792740335647321,10
30,30,0.08046596068137596,10
0,0,0.0,25
1,1,0.0022115390840437873,25
2,2,0.007122804731823991,25
3,3,0.01402684932299393,25
4,4,0.020555582676712092,25
5,5,0.025963484631399286,25
6,6,0.03119405869206437,25
7,7,0.03591562042935592,25
8,8,0.03981688755675924,25
9,9,0.04332426417134004,25
10,10,0.04624988650349873,25
11,11,0.0490757429856023,25
12,12,0.051951496561018766,25
13,13,0.05413889814001651,25
14,14,0.05631049047852431,25
15,15,0.05812283921222132,25
16,16,0.059941656854345944,25
17,17,0.06161257936264666,25
18,18,0.06329874522393025,25
19,19,0.0650035145380394,25
20,20,0.06677396670831647,25
21,21,0.06836223820090633,25
22,22,0.06996087131472949,25
23,23,0.07148384218674751,25
24,24,0.07290794522176794,25
25,25,0.07421594653100902,25
26,26,0.07553232135157949,25
27,27,0.07681254285989728,25
28,28,0.0780353072114435,25
29,29,0.07922984246251857,25
30,30,0.08039318125683811,25
0,0,0.0,50
1,1,0.006351077317985763,50
2,2,0.006211486037919191,50
3,3,0.010718894360446273,50
4,4,0.01571035266231502,50
5,5,0.02070943624418429,50
6,6,0.0249223601916472,50
7,7,0.02843677773582681,50
8,8,0.0318677469336909,50
9,9,0.03530740519663579,50
10,10,0.038734653236295796,50
11,11,0.041465159431644555,50
12,12,0.0438424457366894,50
13,13,0.04616171524484659,50
14,14,0.048349738469920384,50
15,15,0.05052384744719407,50
16,16,0.05268077868277119,50
17,17,0.054800601573344515,50
18,18,0.056856591117628724,50
19,19,0.05889862909061043,50
20,20,0.060774736331473234,50
21,21,0.06263600015582559,50
22,22,0.06432357063760807,50
23,23,0.06591759344607288,50
24,24,0.06736576305901915,50
25,25,0.06877557819327827,50
26,26,0.07025885180626039,50
27,27,0.07169149896075382,50
28,28,0.07320108709629977,50
29,29,0.07457524588150248,50
30,30,0.07590799818856284,50
0,0,0.0,75
1,1,0.006351077317985763,75
2,2,0.011795448140618022,75
3,3,0.012929204030385865,75
4,4,0.01724582000244602,75
5,5,0.02198900446603651,75
6,6,0.02628541523502104,75
7,7,0.02985229294077242,75
8,8,0.03312598267142033,75
9,9,0.03641612292647171,75
10,10,0.03950110506806038,75
11,11,0.0426415501268016,75
12,12,0.045086562587110864,75
13,13,0.047233721054191866,75
14,14,0.0493502772253093,75
15,15,0.05146185253037118,75
16,16,0.05353947263843084,75
17,17,0.055611590309245305,75
18,18,0.05770103335696198,75
19,19,0.05961072044343,75
20,20,0.061497050269731415,75
21,21,0.06325840884027446,75
22,22,0.06503257609593187,75
23,23,0.06664020318325727,75
24,24,0.06826217808365825,75
25,25,0.06974860160471476,75
26,26,0.07118229028674045,75
27,27,0.07262397181949617,75
28,28,0.07396109138524971,75
29,29,0.07522328992154907,75
30,30,0.07638039961303207,75
0,0,0.0,100
1,1,0.006351077317985763,100
2,2,0.011795448140618022,100
3,3,0.012929204030385865,100
4,4,0.01724582000244602,100
5,5,0.02198900446603651,100
6,6,0.02628541523502104,100
7,7,0.02985229294077242,100
8,8,0.03312598267142033,100
9,9,0.03641612292647171,100
10,10,0.03950110506806038,100
11,11,0.0426415501268016,100
12,12,0.045086562587110864,100
13,13,0.047233721054191866,100
14,14,0.0493502772253093,100
15,15,0.05146185253037118,100
16,16,0.05353947263843084,100
17,17,0.055611590309245305,100
18,18,0.05770103335696198,100
19,19,0.05961072044343,100
20,20,0.061384924955914855,100
21,21,0.0631513801316314,100
22,22,0.06474472954037827,100
23,23,0.0661927705752434,100
24,24,0.06767765649343871,100
25,25,0.06918656161411904,100
26,26,0.07057713241543423,100
27,27,0.0718450268266377,100
28,28,0.07307211538043298,100
29,29,0.07428988453151492,100
30,30,0.07553469431824562,100
0,0,0.0,5
1,1,0.0022115390840437873,5
2,2,0.006129904198621347,5
3,3,0.012428959228763387,5
4,4,0.017435834131985982,5
5,5,0.02300647388199954,5
6,6,0.027079255067876888,5
7,7,0.03058535293175382,5
8,8,0.03463742046755439,5
9,9,0.03814471295901061,5
10,10,0.041028004077329185,5
11,11,0.043969333257486594,5
12,12,0.04681603374591671,5
13,13,0.049404208548962776,5
14,14,0.05137687683696059,5
15,15,0.05324953810819433,5
16,16,0.055147169769205105,5
17,17,0.05722612241116207,5
18,18,0.059116300072506074,5
19,19,0.06080859356391986,5
20,20,0.062407320909702385,5
21,21,0.06386105901261516,5
22,22,0.06530626962713856,5
23,23,0.06664935751562863,5
24,24,0.06803589553903792,5
25,25,0.06945003632993409,5
26,26,0.07076255625630558,5
27,27,0.07203150154330835,5
28,28,0.07321334612270813,5
29,29,0.07440629585187206,5
30,30,0.07550724436581592,5
0,0,0.0,10
1,1,0.0022115390840437873,10
2,2,0.008772255612654751,10
3,3,0.01441072278928844,10
4,4,0.02041081867681881,10
5,5,0.024742663576437795,10
6,6,0.028758048562612357,10
7,7,0.03185162099612749,10
8,8,0.03496755391767653,10
9,9,0.03707695595099418,10
10,10,0.039151107015494575,10
11,11,0.04183296253562573,10
12,12,0.04447281595948192,10
13,13,0.04674742218554489,10
14,14,0.048997016945205425,10
15,15,0.05137613654376156,10
16,16,0.053643124038768614,10
17,17,0.055689956292789757,10
18,18,0.05766098480246915,10
19,19,0.05961637955082083,10
20,20,0.06145397550899782,10
21,21,0.06311645513447425,10
22,22,0.06466559509350953,10
23,23,0.06624282354205362,10
24,24,0.06790037419412083,10
25,25,0.06956470959576601,10
26,26,0.07108180872269684,10
27,27,0.07243593385706917,10
28,28,0.07374428187241643,10
29,29,0.07504546791117919,10
30,30,0.07635583785021878,10
0,0,0.0,25
1,1,0.0022115390840437873,25
2,2,0.008772255612654751,25
3,3,0.015263937483616999,25
4,4,0.02109339043228166,25
5,5,0.026922994256859626,25
6,6,0.03201651648188407,25
7,7,0.03663527099544816,25
8,8,0.04045657694884122,25
9,9,0.04307638598726118,25
10,10,0.045282128982647024,25
11,11,0.047477642623099586,25
12,12,0.04968328988638086,25
13,13,0.05203270622785274,25
14,14,0.05434471136050479,25
15,15,0.05659455221362561,25
16,16,0.058789330477635564,25
17,17,0.06101330234439934,25
18,18,0.06293087720746744,25
19,19,0.06463866069259479,25
20,20,0.06632996510637518,25
21,21,0.06804018878688424,25
22,22,0.06957429209380811,25
23,23,0.07099305716082228,25
24,24,0.07232129516391962,25
25,25,0.07357452190119064,25
26,26,0.07484164487511626,25
27,27,0.07605162666192976,25
28,28,0.0772285048223149,25
29,29,0.07837435381794028,25
30,30,0.07945431783411458,25
0,0,0.0,50
1,1,0.006351077317985763,50
2,2,0.014302470076598036,50
3,3,0.016787132389455405,50
4,4,0.020564943085522324,50
5,5,0.024754928263523712,50
6,6,0.028389924779652416,50
7,7,0.03147089675033138,50
8,8,0.03456474161325051,50
9,9,0.03773470040823944,50
10,10,0.040941285246844566,50
11,11,0.04348790544131426,50
12,12,0.04570959589946144,50
13,13,0.047895497538849204,50
14,14,0.04996793527765615,50
15,15,0.05204090695444635,50
16,16,0.054108599395479226,50
17,17,0.05592357941335291,50
18,18,0.0577014057583404,50
19,19,0.059489024615464806,50
20,20,0.061263489906873546,50
21,21,0.0630502832870206,50
22,22,0.06490437912993495,50
23,23,0.06657583564046139,50
24,24,0.06813609493864789,50
25,25,0.0695641973092974,50
26,26,0.07096329657424949,50
27,27,0.07229440894029597,50
28,28,0.07358547042752707,50
29,29,0.07494400196469585,50
30,30,0.07622466246486063,50
0,0,0.0,75
1,1,0.006351077317985763,75
2,2,0.014302470076598036,75
3,3,0.020745895090787912,75
4,4,0.02349917285076766,75
5,5,0.02720013183963788,75
6,6,0.030249073498639388,75
7,7,0.033320493921438474,75
8,8,0.03620882798756793,75
9,9,0.03919068371100455,75
10,10,0.04226490643117648,75
11,11,0.04470122486028519,75
12,12,0.0468295830554346,75
13,13,0.04885224006049248,75
14,14,0.0508608949645232,75
15,15,0.052878056660884215,75
16,16,0.054896505001538386,75
17,17,0.056893231985513534,75
18,18,0.058839083087052005,75
19,19,0.06078199646156255,75
20,20,0.06251966922532601,75
21,21,0.06431333587023956,75
22,22,0.06609450192731336,75
23,23,0.06775189573349998,75
24,24,0.06925667586666319,75
25,25,0.07063430872588804,75
26,26,0.07208480565107357,75
27,27,0.07352470352632244,75
28,28,0.07494044060871717,75
29,29,0.0763487795369137,75
30,30,0.07775923747666673,75
0,0,0.0,100
1,1,0.006351077317985763,100
2,2,0.011795448140618022,100
3,3,0.012929204030385865,100
4,4,0.01724582000244602,100
5,5,0.02118337922796124,100
6,6,0.02559487931667081,100
7,7,0.029248074012215967,100
8,8,0.03258889917937015,100
9,9,0.03593274778362655,100
10,10,0.03854230757454753,100
11,11,0.04097948254833974,100
12,12,0.04355234636083838,100
13,13,0.045809091701224554,100
14,14,0.04800656889144128,100
15,15,0.050202125967369914,100
16,16,0.052353847637959056,100
17,17,0.054491833364355285,100
18,18,0.05638583233529546,100
19,19,0.058239229863572106,100
20,20,0.060140273776091616,100
21,21,0.06204209475960672,100
22,22,0.0639220104301863,100
23,23,0.06563384280047228,100
24,24,0.06718321656356417,100
25,25,0.06859526749388836,100
26,26,0.06992203433266468,100
27,27,0.07121713273843715,100
28,28,0.072476555034777,100
29,29,0.07374832330403294,100
30,30,0.07507963723276233,100
0,0,0.0,5
1,1,0.0022115390840437873,5
2,2,0.006129904198621347,5
3,3,0.012428959228763387,5
4,4,0.017435834131985982,5
5,5,0.02300647388199954,5
6,6,0.027079255067876888,5
7,7,0.03058535293175382,5
8,8,0.03463742046755439,5
9,9,0.03814471295901061,5
10,10,0.04148905116875243,5
11,11,0.04429147930240083,5
12,12,0.046836327172062396,5
13,13,0.04949508260712843,5
14,14,0.0521077276370021,5
15,15,0.05454084665933215,5
16,16,0.05680500380126536,5
17,17,0.05905134467422143,5
18,18,0.06141464893595053,5
19,19,0.06357094833537542,5
20,20,0.06549948513148156,5
21,21,0.0673210401115111,5
22,22,0.06898454779527097,5
23,23,0.07063124273483339,5
24,24,0.07232858825406233,5
25,25,0.07402676135342176,5
26,26,0.07560987574182329,5
27,27,0.07706577522262428,5
28,28,0.07841538232807842,5
29,29,0.07972020742162438,5
30,30,0.08088584853375257,5
0,0,0.0,10
1,1,0.0022115390840437873,10
2,2,0.008772255612654751,10
3,3,0.01441072278928844,10
4,4,0.02041081867681881,10
5,5,0.025485627669360227,10
6,6,0.029394874927974442,10
7,7,0.0338002807891801,10
8,8,0.037936585654380725,10
9,9,0.041631992459199386,10
10,10,0.044711457674279954,10
11,11,0.04766551655881842,10
12,12,0.049999335245367885,10
13,13,0.05229791129131294,10
14,14,0.05471880819940378,10
15,15,0.05685783467212774,10
16,16,0.05905794871737084,10
17,17,0.0611714079919876,10
18,18,0.06309318589676641,10
19,19,0.06493983347470286,10
20,20,0.0666835179577931,10
21,21,0.06847058517023019,10
22,22,0.0702745217082528,10
23,23,0.07178113009094218,10
24,24,0.07326990516206178,10
25,25,0.07465245469873097,10
26,26,0.0760625771488209,10
27,27,0.07737509653795911,10
28,28,0.0785803728350733,10
29,29,0.0797052525950741,10
30,30,0.08083696728189567,10
0,0,0.0,25
1,1,0.0022115390840437873,25
2,2,0.007122804731823991,25
3,3,0.01402684932299393,25
4,4,0.020555582676712092,25
5,5,0.026474796664555683,25
6,6,0.031632347117052116,25
7,7,0.036299122801220204,25
8,8,0.04015777855397193,25
9,9,0.04363106606883147,25
10,10,0.046898928726118026,25
11,11,0.04967069835633665,25
12,12,0.052417379462857,25
13,13,0.05443590600611851,25
14,14,0.056632722701855515,25
15,15,0.05881344658340187,25
16,16,0.06095720033257135,25
17,17,0.06307909758687834,25
18,18,0.06502454809533519,25
19,19,0.06697039114302875,25
20,20,0.06890006656534425,25
21,21,0.07066753083828886,25
22,22,0.07243020963660769,25
23,23,0.07416186451422756,25
24,24,0.07562544072111335,25
25,25,0.07699832484238919,25
26,26,0.07829066067991083,25
27,27,0.07958720775325313,25
28,28,0.08080353929091956,25
29,29,0.08190360185531978,25
30,30,0.08298815953233105,25
0,0,0.0,50
1,1,0.006351077317985763,50
2,2,0.014302470076598036,50
3,3,0.021261049640007263,50
4,4,0.02414407688596381,50
5,5,0.02773753976389161,50
