,time (minutes),AOPC-global,optimization
0,0.7667700861227496,0.1256333612714203,0.1
1,1.533540172245499,0.1210242152442325,0.1
2,2.3003102583682487,0.12078302670888143,0.1
3,3.067080344490998,0.11873626603801003,0.1
4,3.833850430613748,0.1174973254564366,0.1
5,4.600620516736497,0.12144121366319673,0.1
6,5.367390602859248,0.12144121366319673,0.1
7,6.134160688981996,0.1225102820730272,0.1
8,6.900930775104747,0.12235386195058844,0.1
9,7.667700861227496,0.12235386195058844,0.1
10,8.434470947350245,0.12235386195058844,0.1
11,9.201241033472995,0.12235386195058844,0.1
12,9.968011119595745,0.12216834887152364,0.1
13,10.734781205718496,0.12398443305528783,0.1
14,11.501551291841245,0.12363976192328922,0.1
15,12.268321377963993,0.12363976192328922,0.1
16,13.035091464086745,0.12363976192328922,0.1
17,13.801861550209495,0.12363976192328922,0.1
18,14.568631636332244,0.12363976192328922,0.1
19,15.335401722454993,0.12363976192328922,0.1
0,0.24343303092783963,0.10896763266854026,0.5
1,0.48686606185567927,0.13792598849337506,0.5
2,0.7302990927835189,0.13695604317278667,0.5
3,0.9737321237113585,0.1376340448060956,0.5
4,1.2171651546391982,0.13714434577979318,0.5
5,1.4605981855670378,0.13693927595806116,0.5
6,1.7040312164948772,0.13632713506374575,0.5
7,1.947464247422717,0.1388881018715136,0.5
8,2.1908972783505565,0.13632713506374575,0.5
9,2.4343303092783963,0.13134906753006537,0.5
10,2.677763340206236,0.1357507070182995,0.5
11,2.9211963711340756,0.1362430545544462,0.5
12,3.1646294020619155,0.1362430545544462,0.5
13,3.4080624329897544,0.1325869276223273,0.5
14,3.6514954639175943,0.1325869276223273,0.5
15,3.894928494845434,0.1325869276223273,0.5
16,4.1383615257732735,0.13256808284563604,0.5
17,4.381794556701113,0.1325869276223273,0.5
18,4.625227587628953,0.1325869276223273,0.5
19,4.868660618556793,0.12949540511085933,0.5
0,0.47590431940098205,0.11600101424843866,topk-0.1
1,0.9518086388019641,0.11935133862699154,topk-0.1
2,1.4277129582029462,0.12077177811286356,topk-0.1
3,1.9036172776039282,0.11885828903837461,topk-0.1
4,2.3795215970049104,0.11264570236393083,topk-0.1
5,2.8554259164058924,0.1200525192990165,topk-0.1
6,3.3313302358068744,0.12575839951031798,topk-0.1
7,3.8072345552078564,0.12218606496657557,topk-0.1
8,4.283138874608839,0.12412776607854321,topk-0.1
9,4.759043194009821,0.12412776607854321,topk-0.1
10,5.234947513410803,0.1261345224731296,topk-0.1
11,5.710851832811785,0.1261345224731296,topk-0.1
12,6.186756152212768,0.12948579811803582,topk-0.1
13,6.662660471613749,0.12948579811803582,topk-0.1
14,7.138564791014732,0.12948579811803582,topk-0.1
15,7.614469110415713,0.12948579811803582,topk-0.1
16,8.090373429816696,0.12917743516228836,topk-0.1
17,8.566277749217678,0.12580893081070052,topk-0.1
18,9.04218206861866,0.12580893081070052,topk-0.1
19,9.518086388019642,0.1247639237918648,topk-0.1
0,0.1675325886786743,0.10399379218326754,topk-0.5
1,0.3350651773573486,0.10611975967754837,topk-0.5
2,0.5025977660360229,0.1298237686362944,topk-0.5
