,# of features removed,AOPC-global,sorts
0,0,0.0,normal
1,1,0.014474481689351663,normal
2,2,0.027177479718524942,normal
3,3,0.03400009835833655,normal
4,4,0.038535330796105036,normal
5,5,0.04211324642323586,normal
6,6,0.0447793479940553,normal
7,7,0.04682043942210967,normal
8,8,0.048449403758126584,normal
9,9,0.049804442107921114,normal
10,10,0.050252935420686255,normal
11,11,0.0507337250830176,normal
12,12,0.05121308906732358,normal
13,13,0.05169453269077858,normal
14,14,0.05176825307021577,normal
15,15,0.05196446954803974,normal
16,16,0.05219197667455176,normal
17,17,0.05239607709653618,normal
18,18,0.05271321055210638,normal
19,19,0.05303008068444286,normal
20,20,0.05333929415823366,normal
21,21,0.05365734846365005,normal
22,22,0.0539102258649854,normal
23,23,0.054163882288225385,normal
24,24,0.05439838636419173,normal
25,25,0.05464838743720095,normal
26,26,0.05491948264336194,normal
27,27,0.05518577218644508,normal
28,28,0.055550069902084644,normal
29,29,0.055947357465307886,normal
30,30,0.05637218020578611,normal
0,0,0.0,random
1,1,0.0005680916458884986,random
2,2,0.0007636408462355768,random
3,3,0.0004057715747514468,random
4,4,0.00021600158346317004,random
5,5,8.921877815232814e-05,random
6,6,-1.7635079763375036e-05,random
7,7,-0.00010892711285834819,random
8,8,-0.00011961909664503737,random
9,9,-0.00013022523359398794,random
10,10,-0.00015101234739827858,random
11,11,-0.00018848489967721762,random
12,12,-0.000226597310179178,random
13,13,-0.0002579940005733512,random
14,14,-0.00029110141519704254,random
15,15,-0.00031422447951859073,random
16,16,-0.00031904798587107167,random
17,17,-0.00032302883112862165,random
18,18,-0.000326968949976798,random
19,19,-0.00033051625196926944,random
20,20,-0.00025273360184221104,random
21,21,-0.00014848847542809273,random
22,22,-5.656976439720082e-05,random
23,23,4.146039307937858e-05,random
24,24,0.00013214090557112752,random
25,25,0.00022060652974927462,random
26,26,0.0003369246027426402,random
27,27,0.0004408309400031443,random
28,28,0.0005373670869293697,random
29,29,0.0006331465364763426,random
30,30,0.0007217740950874841,random
0,0,0.0,reverse
1,1,-0.0027222846260271873,reverse
2,2,-0.004640014988761627,reverse
3,3,-0.0053547024030101385,reverse
4,4,-0.005864567575314574,reverse
5,5,-0.006223785171544663,reverse
6,6,-0.00640130223077083,reverse
7,7,-0.006542050363065342,reverse
8,8,-0.0064871036330635574,reverse
9,9,-0.0063438844394123495,reverse
10,10,-0.006219287576580241,reverse
11,11,-0.006098149485195409,reverse
12,12,-0.0060155325102973604,reverse
13,13,-0.005944825831667907,reverse
14,14,-0.005605879504689142,reverse
15,15,-0.005318208217608276,reverse
16,16,-0.005058496478857484,reverse
17,17,-0.004777245364343194,reverse
18,18,-0.004856051201915773,reverse
19,19,-0.004928993962971712,reverse
20,20,-0.004800339957557161,reverse
21,21,-0.004672030712136705,reverse
22,22,-0.004584620643535414,reverse
23,23,-0.004513058336088827,reverse
24,24,-0.0044358587099861515,reverse
25,25,-0.004368236433661792,reverse
26,26,-0.004277478141389765,reverse
27,27,-0.00420893699123505,reverse
28,28,-0.0041359524750393,reverse
29,29,-0.0040555399633047705,reverse
30,30,-0.003977728860592302,reverse
0,0,0.0,baseline
1,1,-0.0027222846260271873,baseline
2,2,-0.004640014988761627,baseline
3,3,-0.0053547024030101385,baseline
4,4,-0.005864567575314574,baseline
5,5,-0.006223785171544663,baseline
6,6,-0.0033770507602247607,baseline
7,7,-0.001010309308162536,baseline
8,8,0.0008539531486028743,baseline
9,9,0.005283758734413355,baseline
10,10,0.008951154473880422,baseline
11,11,0.01209267604410029,baseline
12,12,0.014766932931072136,baseline
13,13,0.01709269064629187,baseline
14,14,0.01912383139605869,baseline
15,15,0.02056178323219833,baseline
16,16,0.021912230478310864,baseline
17,17,0.02318522500196067,baseline
18,18,0.02465115681903989,baseline
19,19,0.02595654302541673,baseline
20,20,0.027612071503400212,baseline
21,21,0.028924672465659426,baseline
22,22,0.030148462972527944,baseline
23,23,0.03128095771405204,baseline
24,24,0.03238722040862166,baseline
25,25,0.03333128315724279,baseline
26,26,0.0342011012250339,baseline
27,27,0.03473681836031499,baseline
28,28,0.03523725232176234,baseline
29,29,0.03571307928169814,baseline
30,30,0.035922390972258425,baseline
0,0,0.0,normal
1,1,0.014474481689351663,normal
2,2,0.027177479718524942,normal
3,3,0.03408105545546863,normal
4,4,0.0386000964738107,normal
5,5,0.04216721782132391,normal
6,6,0.04482560919241648,normal
7,7,0.04686091797067571,normal
8,8,0.04848538469018528,normal
9,9,0.04988374235746277,normal
10,10,0.05107500488612708,normal
11,11,0.05210169298052586,normal
12,12,0.052621365583560856,normal
13,13,0.053100581417248986,normal
14,14,0.053627649559463406,normal
15,15,0.053600872192052604,normal
16,16,0.053631620043357475,normal
17,17,0.05370411398025873,normal
18,18,0.053818610950661594,normal
19,19,0.053923342902600535,normal
20,20,0.054051113711579495,normal
21,21,0.05432066972384684,normal
22,22,0.05466538510702604,normal
23,23,0.05494541753398067,normal
24,24,0.05522402541991421,normal
25,25,0.05553060742309612,normal
26,26,0.05585071704633758,normal
27,27,0.05616096922331605,normal
28,28,0.05646903113323658,normal
29,29,0.05679522660541316,normal
30,30,0.057101105615662444,normal
0,0,0.0,random
1,1,0.0012919035793156795,random
2,2,0.0017049534851975798,random
3,3,0.0018470233324998323,random
4,4,0.0021344151188753126,random
5,5,0.0023260500307385524,random
6,6,0.002564802743247102,random
7,7,0.002714565500622517,random
8,8,0.0028325850578859355,random
9,9,0.002951741574909189,random
10,10,0.0028614917240342803,random
11,11,0.002780446152996406,random
12,12,0.002688072806224761,random
13,13,0.0026063751720415353,random
14,14,0.0025233471482839645,random
15,15,0.0023867102559651187,random
16,16,0.002263899403515249,random
17,17,0.002154255218418864,random
18,18,0.002055813416563385,random
19,19,0.00196540767179454,random
20,20,0.0018930356523290197,random
21,21,0.0018111591298016843,random
22,22,0.0017806726343488303,random
23,23,0.0017523863064378613,random
24,24,0.0017272855187228583,random
25,25,0.0017011198080574008,random
26,26,0.0016785010824438545,random
27,27,0.0016741538821837953,random
28,28,0.001433593974708764,random
29,29,0.0012782758776988103,random
30,30,0.0011446944644026846,random
0,0,0.0,reverse
1,1,-0.0027222846260271873,reverse
2,2,-0.004640014988761627,reverse
3,3,-0.0053547024030101385,reverse
4,4,-0.005864567575314574,reverse
5,5,-0.006178441328376988,reverse
