,# of features removed,AOPC-global,optimization
0,0,0.0,0.1
1,1,0.008676070735452906,0.1
2,2,0.014152708931045185,0.1
3,3,0.016487970440720014,0.1
4,4,0.017855703556439728,0.1
5,5,0.018933043326065793,0.1
6,6,0.019847753529912766,0.1
7,7,0.02134702418893679,0.1
8,8,0.022972718973758507,0.1
9,9,0.024212026885279958,0.1
10,10,0.02570284800687062,0.1
11,11,0.028182281907434617,0.1
12,12,0.031059736719588,0.1
13,13,0.0347358549088998,0.1
14,14,0.03840357990168878,0.1
15,15,0.04215681414483846,0.1
16,16,0.04615908370927201,0.1
17,17,0.05003842871178261,0.1
18,18,0.05370362424042821,0.1
19,19,0.057209871446589844,0.1
20,20,0.06070623225737944,0.1
21,21,0.06403600292698154,0.1
22,22,0.06712456340255128,0.1
23,23,0.06996637924447306,0.1
24,24,0.0727539117546091,0.1
25,25,0.07557470760156369,0.1
26,26,0.07842447570433991,0.1
27,27,0.08115007760097888,0.1
28,28,0.08392837739179002,0.1
29,29,0.08650428787156712,0.1
30,30,0.08898651089155676,0.1
0,0,0.0,stop-words-0.1
1,1,0.008676070735452906,stop-words-0.1
2,2,0.014152708931045185,stop-words-0.1
3,3,0.016487970440720014,stop-words-0.1
4,4,0.017985718658578554,stop-words-0.1
5,5,0.01891069521802235,stop-words-0.1
6,6,0.019828598008732674,stop-words-0.1
7,7,0.021163089943111245,stop-words-0.1
8,8,0.022134629540135863,stop-words-0.1
9,9,0.023913832185090658,stop-words-0.1
10,10,0.02596475272081831,stop-words-0.1
11,11,0.028141452729571147,stop-words-0.1
12,12,0.03016983376203795,stop-words-0.1
13,13,0.03229754748261524,stop-words-0.1
14,14,0.03428387513114574,stop-words-0.1
15,15,0.036402396928233334,stop-words-0.1
16,16,0.038193897569537665,stop-words-0.1
17,17,0.039849644907950434,stop-words-0.1
18,18,0.04143620051099537,stop-words-0.1
19,19,0.04299211258067885,stop-words-0.1
20,20,0.04439245909156149,stop-words-0.1
21,21,0.04574885052115041,stop-words-0.1
22,22,0.04719622407413895,stop-words-0.1
23,23,0.04859851714494066,stop-words-0.1
24,24,0.05011702240477458,stop-words-0.1
25,25,0.051539900105995,stop-words-0.1
26,26,0.05284774175700814,stop-words-0.1
27,27,0.05410721701383,stop-words-0.1
28,28,0.055294305918185495,stop-words-0.1
29,29,0.056421833677181336,stop-words-0.1
30,30,0.05754499216057221,stop-words-0.1
0,0,0.0,topk-0.1
1,1,0.008676070735452906,topk-0.1
2,2,0.014152708931045185,topk-0.1
3,3,0.016487970440720014,topk-0.1
4,4,0.017855703556439728,topk-0.1
5,5,0.018933043326065793,topk-0.1
6,6,0.019847753529912766,topk-0.1
7,7,0.02134702418893679,topk-0.1
8,8,0.02411218455495192,topk-0.1
9,9,0.026941920447206197,topk-0.1
10,10,0.029629052535464898,topk-0.1
11,11,0.03320423627676987,topk-0.1
12,12,0.03615362461886534,topk-0.1
13,13,0.03934305203114312,topk-0.1
14,14,0.042839162898179996,topk-0.1
15,15,0.04663201421609509,topk-0.1
16,16,0.05037103671751355,topk-0.1
17,17,0.05389972314359334,topk-0.1
18,18,0.05736169264951207,topk-0.1
19,19,0.060643856896297324,topk-0.1
20,20,0.06389702946734648,topk-0.1
21,21,0.06718461431346613,topk-0.1
22,22,0.07018433548446848,topk-0.1
23,23,0.07308781143959688,topk-0.1
24,24,0.07602839907077252,topk-0.1
25,25,0.07881045577611556,topk-0.1
26,26,0.0815650029612056,topk-0.1
27,27,0.08413493342578195,topk-0.1
28,28,0.08666506042622384,topk-0.1
29,29,0.08901284861923496,topk-0.1
30,30,0.09132443352801953,topk-0.1
0,0,0.0,desired-0.1
1,1,0.008676070735452906,desired-0.1
2,2,0.014152708931045185,desired-0.1
3,3,0.016487970440720014,desired-0.1
4,4,0.017855703556439728,desired-0.1
5,5,0.018933043326065793,desired-0.1
6,6,0.02057124266994873,desired-0.1
7,7,0.02172677587193704,desired-0.1
8,8,0.02299248983505739,desired-0.1
9,9,0.025211354897980525,desired-0.1
10,10,0.027670045275954295,desired-0.1
11,11,0.030658553970171896,desired-0.1
12,12,0.03409576999075759,desired-0.1
13,13,0.03754309353035857,desired-0.1
14,14,0.04191168736821661,desired-0.1
15,15,0.04592121061241197,desired-0.1
16,16,0.049685436793215215,desired-0.1
17,17,0.053334393594892546,desired-0.1
18,18,0.05668029255191129,desired-0.1
19,19,0.060109505586742516,desired-0.1
20,20,0.0633674774974893,desired-0.1
21,21,0.06644784483754197,desired-0.1
22,22,0.06922643490495056,desired-0.1
23,23,0.07200329837259366,desired-0.1
24,24,0.07487179990478636,desired-0.1
25,25,0.07765857831987702,desired-0.1
