,# of features removed,AOPC-global,percent
0,0,0.0,5
1,1,0.026304162409475584,5
2,2,0.044068157518184985,5
3,3,0.05317705447125529,5
4,4,0.05864239264309747,5
5,5,0.0622859514243256,5
6,6,0.06488849341091711,5
7,7,0.06684039990086076,5
8,8,0.06835854939303915,5
9,9,0.06957306898678185,5
10,10,0.0705667668362077,5
11,11,0.07139484837739592,5
12,12,0.07209553275840132,5
13,13,0.07269611937069168,5
14,14,0.07321662776800998,5
15,15,0.0736720726156635,5
16,16,0.07407393571653424,5
17,17,0.07443114736175269,5
18,18,0.07475075778115867,5
19,19,0.07503840715862405,5
20,20,0.07529866135728319,5
21,21,0.07553525608333697,5
22,22,0.07575127735495128,5
23,23,0.07594929685393108,5
24,24,0.07613147479299248,5
25,25,0.07629963904443378,5
26,26,0.07645534668465721,5
27,27,0.07659993235057895,5
28,28,0.07673454659126472,5
29,29,0.07686018654923808,5
30,30,0.07697772070347125,5
0,0,0.0,10
1,1,0.00045379879743122044,10
2,2,0.01814117333622535,10
3,3,0.03373181633478557,10
4,4,0.046032922479072216,10
5,5,0.055065349996936484,10
6,6,0.0624115184321246,10
7,7,0.06855559783392044,10
8,8,0.07451729454695195,10
9,9,0.08050944016007952,10
10,10,0.08541210475263843,10
11,11,0.08949765857977084,10
12,12,0.0929546656642675,10
13,13,0.09591781459383607,10
14,14,0.09848587699946215,10
15,15,0.10073293160438498,10
16,16,0.10271562684402277,10
17,17,0.1044780226125897,10
18,18,0.10605490303709694,10
19,19,0.10747409541915347,10
20,20,0.10875812662196652,10
21,21,0.10992542771543291,10
22,22,0.1109912243659892,10
23,23,0.11196820462899913,10
24,24,0.11286702647096826,10
25,25,0.11369670817124745,10
26,26,0.11446493196780227,10
27,27,0.11517828263603173,10
28,28,0.11584243670645228,10
29,29,0.11646231383884478,10
30,30,0.11704219889817971,10
0,0,0.0,25
1,1,0.00045379879743122044,25
2,2,0.01814117333622535,25
3,3,0.03373181633478557,25
4,4,0.04393215287534554,25
5,5,0.05318797752334429,25
6,6,0.06132024007258807,25
7,7,0.06894792228789884,25
8,8,0.07492470525840392,25
9,9,0.08033223578050754,25
10,10,0.08511146766453943,25
11,11,0.08955025715695032,25
12,12,0.09391029179105884,25
13,13,0.09864128399118187,25
14,14,0.10277938058988773,25
15,15,0.10671209889688278,25
16,16,0.11042960548004221,25
17,17,0.11401603492080827,25
18,18,0.11776863165296536,25
19,19,0.12136405382358137,25
20,20,0.12484606371966005,25
21,21,0.12801152726154974,25
22,22,0.13090173310414469,25
23,23,0.13355108845985672,25
24,24,0.1359884953871118,25
25,25,0.13823840947380878,25
26,26,0.14032166325778747,25
27,27,0.1422561132000534,25
28,28,0.14405715280147344,25
29,29,0.1457381230961321,25
30,30,0.14731064369436117,25
0,0,0.0,50
1,1,0.026304162409475584,50
2,2,0.044068157518184985,50
3,3,0.05317705447125529,50
4,4,0.05948834338452132,50
5,5,0.06500483029784714,50
6,6,0.07104997833961596,50
7,7,0.07636646955306702,50
8,8,0.08105269940373921,50
9,9,0.08586635474474827,50
10,10,0.09074389433447944,50
11,11,0.09587021127040064,50
12,12,0.1002384233875163,50
13,13,0.10426144634685962,50
14,14,0.10867563125778516,50
15,15,0.11281955021297571,50
16,16,0.11685037181280218,50
17,17,0.1204649104781473,50
18,18,0.12371464944157207,50
19,19,0.12674093244431525,50
20,20,0.12962930796183658,50
21,21,0.13252850873543667,50
22,22,0.13531019611445178,50
23,23,0.13803536109974832,50
24,24,0.14074211850742271,50
25,25,0.1434073148087947,50
26,26,0.1460366336890833,50
27,27,0.14847814407792273,50
28,28,0.15075127443994563,50
29,29,0.15287286277783366,50
30,30,0.1548575744487612,50
0,0,0.0,75
1,1,0.026304162409475584,75
2,2,0.044068157518184985,75
3,3,0.05317705447125529,75
4,4,0.05948834338452132,75
5,5,0.06500483029784714,75
6,6,0.06983961258693637,75
7,7,0.07530739951947238,75
8,8,0.08011130381832177,75
9,9,0.08498743099919744,75
10,10,0.08994487274761505,75
11,11,0.09455623240596335,75
12,12,0.09848871144205579,75
13,13,0.10276943685397377,75
14,14,0.10661475612518391,75
15,15,0.11022339648908143,75
16,16,0.11422593064501572,75
17,17,0.11806748317158394,75
18,18,0.12153458545214439,75
19,19,0.12468752752479595,75
20,20,0.127540192931201,75
21,21,0.13016514969256726,75
22,22,0.13257480077878006,75
23,23,0.13491516880846796,75
24,24,0.13719213113465062,75
25,25,0.1394043144312445,75
26,26,0.14163745231809213,75
27,27,0.14386132454547867,75
28,28,0.1461392368492101,75
29,29,0.14843816884769684,75
30,30,0.15078396453230367,75
0,0,0.0,100
1,1,0.026304162409475584,100
2,2,0.044068157518184985,100
3,3,0.05317705447125529,100
4,4,0.05948834338452132,100
5,5,0.06500483029784714,100
6,6,0.06983961258693637,100
7,7,0.07530739951947238,100
8,8,0.08070790462455167,100
9,9,0.08552437172480434,100
10,10,0.09043300067998497,100
11,11,0.09500368301063578,100
12,12,0.09890174276944572,100
13,13,0.10315296594369301,100
14,14,0.10697271660892185,100
15,15,0.11118459064052336,100
16,16,0.11513058396401987,100
17,17,0.11887184676872706,100
18,18,0.12248810290890083,100
19,19,0.12595937973763155,100
20,20,0.12912713260072067,100
21,21,0.13203649885820823,100
22,22,0.13469290101442039,100
23,23,0.13715692551686307,100
24,24,0.13944868224584425,100
25,25,0.14157560703391164,100
26,26,0.14366188957159726,100
27,27,0.14570970883772483,100
28,28,0.14782494188779863,100
29,29,0.14996549741886883,100
30,30,0.15213525631729324,100
0,0,0.0,5
1,1,0.026304162409475584,5
2,2,0.03537474907758826,5
3,3,0.04665699814080775,5
4,4,0.05342634757873945,5
5,5,0.057939247204027246,5
6,6,0.061162746936375675,5
7,7,0.06358037173563699,5
8,8,0.0654607465795069,5
9,9,0.06696504645460284,5
10,10,0.06819583726149951,5
11,11,0.06922149626724673,5
12,12,0.07008936157980208,5
13,13,0.07083324613342094,5
14,14,0.07147794607989064,5
15,15,0.07204205853305161,5
16,16,0.07253980481525246,5
17,17,0.07298224595498656,5
18,18,0.07337811434316971,5
19,19,0.07373439589253453,5
20,20,0.07405674586576938,5
21,21,0.07434979129598286,5
22,22,0.07461735451487345,5
23,23,0.07486262079885649,5
24,24,0.07508826578012087,5
25,25,0.07529655345513415,5
