# of features removed,AOPC-global,percent
0,0.0,5
1,0.0086760707354529,5
2,0.0110781993864758,5
3,0.0136035307051865,5
4,0.0166411434263372,5
5,0.0187000538913964,5
6,0.0203475597188982,5
7,0.0222346381804192,5
8,0.0243586226387297,5
9,0.0262322441365016,5
10,0.0279301055529759,5
11,0.029308873754677,5
12,0.0307949893617644,5
13,0.0322281255372125,5
14,0.0343913611423635,5
15,0.0364839681092685,5
16,0.0383389330616875,5
17,0.0405306875260321,5
18,0.0425793472560531,5
19,0.0454217376213945,5
20,0.0482888218780182,5
21,0.0514612946864236,5
22,0.0543764798473144,5
23,0.0570487610134607,5
24,0.0596630518461542,5
25,0.0620762584800086,5
26,0.0643041371451221,5
27,0.0663755448646306,5
28,0.0683344933742683,5
29,0.0701375436472316,5
30,0.0718351044509484,5
0,0.0,10
1,0.0086760707354529,10
2,0.0110781993864758,10
3,0.0136035307051865,10
4,0.0166411434263372,10
5,0.0187000538913964,10
6,0.0201819085178425,10
7,0.0218658866852668,10
8,0.0234339300816074,10
9,0.0246271168823439,10
10,0.026080202549656,10
11,0.0283522484046369,10
12,0.0305080327706719,10
13,0.032484068715607,10
14,0.0354886515159848,10
15,0.0384522717725207,10
16,0.0413429481582173,10
17,0.0445035871433074,10
18,0.0479493715521926,10
19,0.0511537381254117,10
20,0.0541926357299796,10
21,0.0571097719645257,10
22,0.0600467776831056,10
23,0.0628944863126622,10
24,0.0655225934174147,10
25,0.0683819290179083,10
26,0.0710306139272397,10
27,0.0735836976980527,10
28,0.0760245654120579,10
29,0.0783741778427622,10
30,0.0805730425744624,10
0,0.0,25
1,0.0086760707354529,25
2,0.0110781993864758,25
3,0.014182088282293,25
4,0.0160109978296981,25
5,0.0182383323293041,25
6,0.0199757761012958,25
7,0.021291870774104,25
8,0.0227774011081732,25
9,0.0246456398674344,25
10,0.027144620006296,25
11,0.029169316108139,25
12,0.0311086310251978,25
13,0.0336165183022909,25
14,0.0365997586180789,25
15,0.0396525760746289,25
16,0.0425536122420392,25
17,0.0451982690647442,25
18,0.0479126349987511,25
19,0.050634516430077,25
20,0.0541296399307338,25
21,0.05762005007387,25
22,0.0610922727483745,25
23,0.0644474589424282,25
24,0.067643755716812,25
25,0.0706441577061525,25
26,0.073413672692457,25
27,0.0761099405457476,25
28,0.078781972015174,25
29,0.0815383820905455,25
30,0.0842272667262952,25
0,0.0,50
1,0.0086760707354529,50
2,0.0110781993864758,50
3,0.014182088282293,50
4,0.0160109978296981,50
5,0.0173957885537811,50
6,0.0192535957222761,50
7,0.0206599629424618,50
8,0.0223619978657807,50
9,0.0242647665640285,50
10,0.0264985176375808,50
11,0.0292054472068725,50
12,0.0319698201333316,50
13,0.0342803897464687,50
14,0.0372008741068239,50
15,0.0410292774621526,50
16,0.0446039518544523,50
17,0.0481093981479862,50
18,0.0516040016795433,50
19,0.0553479027888442,50
20,0.0588935719990549,50
21,0.0621674397754492,50
22,0.0653372421271725,50
23,0.0685027733038972,50
24,0.0715948244638378,50
25,0.0746945829619995,50
26,0.0776470586985829,50
27,0.0804703270144328,50
28,0.0832217651290472,50
29,0.0858616710846806,50
30,0.088554184470554,50
0,0.0,75
1,0.0086760707354529,75
2,0.0141527089310451,75
3,0.01648797044072,75
4,0.0178557035564397,75
5,0.0189330433260657,75
6,0.0198477535299127,75
7,0.0211798510241438,75
8,0.0228241206050536,75
9,0.0256308182070521,75
10,0.0278391867078952,75
11,0.0301405923833738,75
12,0.0327988683420775,75
13,0.0358011862818085,75
14,0.0388284898919622,75
15,0.0425551672607198,75
16,0.0460400834295743,75
17,0.0498093783716508,75
18,0.0534866291813559,75
19,0.0570037261404712,75
20,0.0605099033944093,75
21,0.0637478693923739,75
22,0.0668489574129266,75
23,0.0698708695069317,75
24,0.0727345136877454,75
25,0.0756253227320877,75
26,0.0785576595685989,75
27,0.0812616241420239,75
28,0.0837909256780319,75
29,0.0862302359899127,75
30,0.0887225779088747,75
0,0.0,100
1,0.0086760707354529,100
2,0.0141527089310451,100
3,0.01648797044072,100
4,0.0178557035564397,100
5,0.0189330433260657,100
6,0.0198477535299127,100
7,0.0213470241889367,100
8,0.0229727189737585,100
9,0.0242120268852799,100
10,0.0257028480068706,100
11,0.0281822819074346,100
12,0.031059736719588,100
13,0.0347358549088998,100
14,0.0384035799016887,100
15,0.0421568141448384,100
16,0.046159083709272,100
17,0.0500384287117826,100
18,0.0537036242404282,100
19,0.0572098714465898,100
20,0.0607062322573794,100
21,0.0640360029269815,100
22,0.0671245634025512,100
23,0.069966379244473,100
24,0.0727539117546091,100
25,0.0755747076015636,100
26,0.0784244757043399,100
27,0.0811500776009788,100
28,0.08392837739179,100
29,0.0865042878715671,100
30,0.0889865108915567,100
0,0.0,5
1,0.0086760707354529,5
2,0.0111583458879788,5
3,0.0125357342813221,5
4,0.0142362335741793,5
5,0.0166959623479315,5
6,0.0186297669673569,5
7,0.0207315695228205,5
8,0.0230225616097531,5
9,0.0262422071925663,5
10,0.0291076078833324,5
11,0.0316802848543745,5
12,0.0338348761811374,5
13,0.0368561706283102,5
14,0.0394969320952928,5
15,0.0420772711040452,5
16,0.0444888860603107,5
17,0.0465815578777361,5
18,0.0485894581613789,5
19,0.0504028934225958,5
20,0.0520436526802641,5
21,0.0536891255292086,5
22,0.0551915308476175,5
23,0.0570075115399338,5
24,0.058671116101333,5
25,0.0603112944609508,5
26,0.0620337318341041,5
27,0.0636650301388742,5
28,0.0651607805881491,5
29,0.0667844819086625,5
30,0.0684361935572706,5
0,0.0,10
1,0.0086760707354529,10
2,0.0110781993864758,10
3,0.0124756244051948,10
4,0.0141881456732775,10
5,0.01665588909718,10
6,0.018429767265657,10
7,0.019962422797564,10
8,0.0210928878040576,10
9,0.0225372590368801,10
10,0.0241803317810525,10
11,0.026786642033768,10
12,0.029048700304164,10
13,0.0321508492965163,10
14,0.0349990858988724,10
15,0.0376961777720621,10
16,0.0407185742179729,10
17,0.0437102099184688,10
18,0.04693182940413,10
19,0.0501870730847522,10
20,0.053141422800206,10
21,0.0559852123769323,10
22,0.0586838950988307,10
23,0.0614081543119365,10
24,0.064068000184728,10
25,0.0665514185605674,10
26,0.0689718158849301,10
27,0.0712796966407555,10
28,0.0734409130736286,10
29,0.0757065884674585,10
30,0.0778795371454727,10
0,0.0,25
1,0.0086760707354529,25
2,0.0110781993864758,25
3,0.014182088282293,25
4,0.0160109978296981,25
5,0.0182383323293041,25
6,0.0199757761012958,25
7,0.021291870774104,25
8,0.0227774011081732,25
9,0.0239046282492619,25
10,0.0254386516876103,25
