,# of features removed,AOPC-global,aggregation
0,0,0.0,$\mathcal{G}_{\mathsf{sq}}$
1,1,0.0263041619629682,$\mathcal{G}_{\mathsf{sq}}$
2,2,0.0353747485358344,$\mathcal{G}_{\mathsf{sq}}$
3,3,0.0466569967670598,$\mathcal{G}_{\mathsf{sq}}$
4,4,0.054876447711906,$\mathcal{G}_{\mathsf{sq}}$
5,5,0.0611615831250729,$\mathcal{G}_{\mathsf{sq}}$
6,6,0.0677557663521765,$\mathcal{G}_{\mathsf{sq}}$
7,7,0.0734840339144367,$\mathcal{G}_{\mathsf{sq}}$
8,8,0.0794852947859654,$\mathcal{G}_{\mathsf{sq}}$
9,9,0.0853509748331318,$\mathcal{G}_{\mathsf{sq}}$
10,10,0.0912617936980214,$\mathcal{G}_{\mathsf{sq}}$
11,11,0.0965070921569626,$\mathcal{G}_{\mathsf{sq}}$
12,12,0.1017400400057165,$\mathcal{G}_{\mathsf{sq}}$
13,13,0.1065259122667593,$\mathcal{G}_{\mathsf{sq}}$
14,14,0.111038545324685,$\mathcal{G}_{\mathsf{sq}}$
15,15,0.1153849231244305,$\mathcal{G}_{\mathsf{sq}}$
16,16,0.1195135000755655,$\mathcal{G}_{\mathsf{sq}}$
17,17,0.1234240642790081,$\mathcal{G}_{\mathsf{sq}}$
18,18,0.127163648020316,$\mathcal{G}_{\mathsf{sq}}$
19,19,0.1306840531876849,$\mathcal{G}_{\mathsf{sq}}$
20,20,0.1340527335511442,$\mathcal{G}_{\mathsf{sq}}$
0,0,0.0,$\mathcal{G}_{\mathsf{h}}$
1,1,0.0263041619629682,$\mathcal{G}_{\mathsf{h}}$
2,2,0.0353747485358344,$\mathcal{G}_{\mathsf{h}}$
3,3,0.0466569967670598,$\mathcal{G}_{\mathsf{h}}$
4,4,0.054876447711906,$\mathcal{G}_{\mathsf{h}}$
5,5,0.0611615831250729,$\mathcal{G}_{\mathsf{h}}$
6,6,0.0677557663521765,$\mathcal{G}_{\mathsf{h}}$
7,7,0.0734840339144367,$\mathcal{G}_{\mathsf{h}}$
8,8,0.0794852947859654,$\mathcal{G}_{\mathsf{h}}$
9,9,0.0853509748331318,$\mathcal{G}_{\mathsf{h}}$
10,10,0.0912617936980214,$\mathcal{G}_{\mathsf{h}}$
11,11,0.0965070921569626,$\mathcal{G}_{\mathsf{h}}$
12,12,0.1017400400057165,$\mathcal{G}_{\mathsf{h}}$
13,13,0.1065259122667593,$\mathcal{G}_{\mathsf{h}}$
14,14,0.111038545324685,$\mathcal{G}_{\mathsf{h}}$
15,15,0.1153849231244305,$\mathcal{G}_{\mathsf{h}}$
16,16,0.1195135000755655,$\mathcal{G}_{\mathsf{h}}$
17,17,0.1234240642790081,$\mathcal{G}_{\mathsf{h}}$
18,18,0.127163648020316,$\mathcal{G}_{\mathsf{h}}$
19,19,0.1306840531876849,$\mathcal{G}_{\mathsf{h}}$
20,20,0.1340527335511442,$\mathcal{G}_{\mathsf{h}}$
0,0,0.0,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
1,1,0.0263041619629682,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
2,2,0.0353747485358344,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
3,3,0.0466569967670598,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
4,4,0.054876447711906,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
5,5,0.0611615831250729,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
6,6,0.0665454000109721,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
7,7,0.0724249633658829,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
8,8,0.0785438987428064,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
9,9,0.0838597307913005,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
10,10,0.0885577199999228,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
11,11,0.0928860968941243,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
12,12,0.0973431880342524,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
13,13,0.101618207724717,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
14,14,0.1060330056897487,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
15,15,0.1106922297166778,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
16,16,0.1149854036230174,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
17,17,0.1190555859634485,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
18,18,0.1229599670666294,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
19,19,0.1266905562816827,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
20,20,0.1301625350359409,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
0,0,0.0,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
1,1,0.0263041619629682,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
2,2,0.0353747485358344,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
3,3,0.0466569967670598,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
4,4,0.054876447711906,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
5,5,0.0611615831250729,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
6,6,0.0677557663521765,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
7,7,0.0734840339144367,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
8,8,0.0794852947859654,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
9,9,0.0847069872301436,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
10,10,0.0893279531261438,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
11,11,0.0935921439264936,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
12,12,0.0979949237564393,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
13,13,0.1022233908953192,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
14,14,0.106597843315644,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
15,15,0.1112217649909547,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
16,16,0.1154837897635133,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
17,17,0.1195262839850279,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
18,18,0.1234058915081258,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
19,19,0.1271141845011042,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
20,20,0.130565990483009,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
0,0,0.0,$\mathcal{G}_{\mathsf{av}}$
1,1,0.0031305205677299,$\mathcal{G}_{\mathsf{av}}$
2,2,0.0064648429204383,$\mathcal{G}_{\mathsf{av}}$
3,3,0.0093402562716967,$\mathcal{G}_{\mathsf{av}}$
4,4,0.0164093141571511,$\mathcal{G}_{\mathsf{av}}$
5,5,0.0218231589923794,$\mathcal{G}_{\mathsf{av}}$
6,6,0.0261324190180908,$\mathcal{G}_{\mathsf{av}}$
7,7,0.0297267622118457,$\mathcal{G}_{\mathsf{av}}$
8,8,0.0326232066687252,$\mathcal{G}_{\mathsf{av}}$
9,9,0.0353976121968611,$\mathcal{G}_{\mathsf{av}}$
10,10,0.0381185467784447,$\mathcal{G}_{\mathsf{av}}$
11,11,0.0448527524799776,$\mathcal{G}_{\mathsf{av}}$
12,12,0.0507071079776909,$\mathcal{G}_{\mathsf{av}}$
13,13,0.0564190048735896,$\mathcal{G}_{\mathsf{av}}$
14,14,0.0617019915949091,$\mathcal{G}_{\mathsf{av}}$
15,15,0.0673208297680107,$\mathcal{G}_{\mathsf{av}}$
16,16,0.0726530506257456,$\mathcal{G}_{\mathsf{av}}$
17,17,0.0775336116310085,$\mathcal{G}_{\mathsf{av}}$
18,18,0.0824607827146349,$\mathcal{G}_{\mathsf{av}}$
19,19,0.087622007723855,$\mathcal{G}_{\mathsf{av}}$
20,20,0.0924980172295211,$\mathcal{G}_{\mathsf{av}}$
0,0,0.0,$\mathcal{G}^{+5}_{\mathsf{av}}$
1,1,0.0034362232451975,$\mathcal{G}^{+5}_{\mathsf{av}}$
2,2,0.0134879807847625,$\mathcal{G}^{+5}_{\mathsf{av}}$
3,3,0.0187407589934525,$\mathcal{G}^{+5}_{\mathsf{av}}$
4,4,0.0325434574930202,$\mathcal{G}^{+5}_{\mathsf{av}}$
5,5,0.041745256492732,$\mathcal{G}^{+5}_{\mathsf{av}}$
6,6,0.0483179700639547,$\mathcal{G}^{+5}_{\mathsf{av}}$
7,7,0.0532475052423717,$\mathcal{G}^{+5}_{\mathsf{av}}$
8,8,0.0570815881589183,$\mathcal{G}^{+5}_{\mathsf{av}}$
9,9,0.0601488544921555,$\mathcal{G}^{+5}_{\mathsf{av}}$
10,10,0.0626584360375315,$\mathcal{G}^{+5}_{\mathsf{av}}$
11,11,0.0647497539920115,$\mathcal{G}^{+5}_{\mathsf{av}}$
12,12,0.0665193307227253,$\mathcal{G}^{+5}_{\mathsf{av}}$
13,13,0.0680361107776228,$\mathcal{G}^{+5}_{\mathsf{av}}$
14,14,0.0693506534918673,$\mathcal{G}^{+5}_{\mathsf{av}}$
15,15,0.0705008783668313,$\mathcal{G}^{+5}_{\mathsf{av}}$
16,16,0.0715157826682701,$\mathcal{G}^{+5}_{\mathsf{av}}$
17,17,0.0724179198251046,$\mathcal{G}^{+5}_{\mathsf{av}}$
18,18,0.0732250951759565,$\mathcal{G}^{+5}_{\mathsf{av}}$
19,19,0.0739515529917233,$\mathcal{G}^{+5}_{\mathsf{av}}$
20,20,0.0746088243488455,$\mathcal{G}^{+5}_{\mathsf{av}}$
0,0,0.0,$\mathcal{G}_{\mathsf{pr}}^{-1}$ α=0.5
1,1,0.0019272947263171,$\mathcal{G}_{\mathsf{pr}}^{-1}$ α=0.5
2,2,0.0039586048463565,$\mathcal{G}_{\mathsf{pr}}^{-1}$ α=0.5
3,3,0.0056916777790597,$\mathcal{G}_{\mathsf{pr}}^{-1}$ α=0.5
4,4,0.0073000605192364,$\mathcal{G}_{\mathsf{pr}}^{-1}$ α=0.5
5,5,0.0093807552564972,$\mathcal{G}_{\mathsf{pr}}^{-1}$ α=0.5
6,6,0.0112290464075368,$\mathcal{G}_{\mathsf{pr}}^{-1}$ α=0.5
7,7,0.0128690596149929,$\mathcal{G}_{\mathsf{pr}}^{-1}$ α=0.5
8,8,0.0145523819388312,$\mathcal{G}_{\mathsf{pr}}^{-1}$ α=0.5
9,9,0.0163980539152128,$\mathcal{G}_{\mathsf{pr}}^{-1}$ α=0.5
10,10,0.0182630379420452,$\mathcal{G}_{\mathsf{pr}}^{-1}$ α=0.5
11,11,0.0200751576313921,$\mathcal{G}_{\mathsf{pr}}^{-1}$ α=0.5
12,12,0.0224729474766101,$\mathcal{G}_{\mathsf{pr}}^{-1}$ α=0.5
13,13,0.0252677481201641,$\mathcal{G}_{\mathsf{pr}}^{-1}$ α=0.5
14,14,0.0280740351505555,$\mathcal{G}_{\mathsf{pr}}^{-1}$ α=0.5
15,15,0.0311391315553575,$\mathcal{G}_{\mathsf{pr}}^{-1}$ α=0.5
