,# of features removed,AOPC-global,aggregation
0,0,0.0,probabilistic α=0.5
1,1,0.008676070735452906,probabilistic α=0.5
2,2,0.014152708931045185,probabilistic α=0.5
3,3,0.016487970440720014,probabilistic α=0.5
4,4,0.017985718658578554,probabilistic α=0.5
5,5,0.01891069521802235,probabilistic α=0.5
6,6,0.019828598008732674,probabilistic α=0.5
7,7,0.021163089943111245,probabilistic α=0.5
8,8,0.022134629540135863,probabilistic α=0.5
9,9,0.023913832185090658,probabilistic α=0.5
10,10,0.02596475272081831,probabilistic α=0.5
11,11,0.028141452729571147,probabilistic α=0.5
12,12,0.03016983376203795,probabilistic α=0.5
13,13,0.03229754748261524,probabilistic α=0.5
14,14,0.03428387513114574,probabilistic α=0.5
15,15,0.036402396928233334,probabilistic α=0.5
16,16,0.038193897569537665,probabilistic α=0.5
17,17,0.039849644907950434,probabilistic α=0.5
18,18,0.04143620051099537,probabilistic α=0.5
19,19,0.04299211258067885,probabilistic α=0.5
20,20,0.04439245909156149,probabilistic α=0.5
21,21,0.04574885052115041,probabilistic α=0.5
22,22,0.04719622407413895,probabilistic α=0.5
23,23,0.04859851714494066,probabilistic α=0.5
24,24,0.05011702240477458,probabilistic α=0.5
25,25,0.051539900105995,probabilistic α=0.5
26,26,0.05284774175700814,probabilistic α=0.5
27,27,0.05410721701383,probabilistic α=0.5
28,28,0.055294305918185495,probabilistic α=0.5
29,29,0.056421833677181336,probabilistic α=0.5
30,30,0.05754499216057221,probabilistic α=0.5
0,0,0.0,probabilistic α=0.95
1,1,0.008676070735452906,probabilistic α=0.95
2,2,0.014152708931045185,probabilistic α=0.95
3,3,0.016851604649373537,probabilistic α=0.95
4,4,0.018276626025501373,probabilistic α=0.95
5,5,0.019153118023791365,probabilistic α=0.95
6,6,0.020036388985106113,probabilistic α=0.95
7,7,0.021344907047438,probabilistic α=0.95
8,8,0.02229624474398187,probabilistic α=0.95
9,9,0.02358376523547364,probabilistic α=0.95
10,10,0.024442596416991216,probabilistic α=0.95
11,11,0.025732855940884217,probabilistic α=0.95
12,12,0.027596194132577887,probabilistic α=0.95
13,13,0.029597479040022242,probabilistic α=0.95
14,14,0.031515612791216084,probabilistic α=0.95
15,15,0.03332322100710315,probabilistic α=0.95
16,16,0.03484579716035298,probabilistic α=0.95
17,17,0.036532765534185656,probabilistic α=0.95
18,18,0.03810272297722148,probabilistic α=0.95
19,19,0.03961321519839152,probabilistic α=0.95
20,20,0.041092889914730334,probabilistic α=0.95
21,21,0.04242286245787448,probabilistic α=0.95
22,22,0.04382711628702153,probabilistic α=0.95
23,23,0.04512599408514645,probabilistic α=0.95
24,24,0.04631461620137236,probabilistic α=0.95
25,25,0.04740599433581687,probabilistic α=0.95
26,26,0.04851577574880284,probabilistic α=0.95
27,27,0.049606071831306574,probabilistic α=0.95
28,28,0.050829330535848996,probabilistic α=0.95
29,29,0.05197738983854335,probabilistic α=0.95
30,30,0.05307359649985302,probabilistic α=0.95
0,0,0.0,sum
1,1,0.008676070735452906,sum
2,2,0.014152708931045185,sum
3,3,0.016851604649373537,sum
4,4,0.018276626025501373,sum
5,5,0.019153118023791365,sum
6,6,0.020036388985106113,sum
7,7,0.021344907047438,sum
8,8,0.02229624474398187,sum
9,9,0.02358376523547364,sum
10,10,0.024442596416991216,sum
11,11,0.025732855940884217,sum
12,12,0.027596194132577887,sum
13,13,0.029597479040022242,sum
14,14,0.031515612791216084,sum
15,15,0.033111645385537354,sum
16,16,0.034646667163585165,sum
17,17,0.03634469831501606,sum
18,18,0.03792455403274503,sum
19,19,0.039351714676263534,sum
20,20,0.04076942487813332,sum
21,21,0.042261786936033024,sum
22,22,0.04361207077985124,sum
23,23,0.04491990880744159,sum
24,24,0.046116774334775686,sum
25,25,0.04721576177178161,sum
26,26,0.04833258883528741,sum
27,27,0.04942942730755955,sum
28,28,0.05045726777294024,sum
29,29,0.051616603605554104,sum
30,30,0.05272433447393333,sum
0,0,0.0,avg
1,1,0.00029410245882366295,avg
2,2,0.0011862946689061066,avg
3,3,0.002696385956925591,avg
4,4,0.0054987645050059404,avg
5,5,0.00757920678834239,avg
6,6,0.009289328875176806,avg
7,7,0.01059328253099253,avg
8,8,0.011586105110147417,avg
9,9,0.012513445068195258,avg
10,10,0.01377420220231499,avg
11,11,0.014928104285486105,avg
12,12,0.01606053677131416,avg
13,13,0.01703216320229308,avg
14,14,0.01784570322310037,avg
15,15,0.018634878402429236,avg
16,16,0.019323096944220568,avg
17,17,0.019934863344793392,avg
18,18,0.020574409892535474,avg
19,19,0.021440393099705957,avg
20,20,0.02234274117941984,avg
21,21,0.023162745267211734,avg
22,22,0.02391187382284922,avg
23,23,0.024607449462532672,avg
24,24,0.025245399844839072,avg
25,25,0.025865376804253323,avg
26,26,0.026442600083976506,avg
27,27,0.02700602342480764,avg
28,28,0.02753440252653704,avg
29,29,0.02805093692024413,avg
30,30,0.028532376993344696,avg
0,0,0.0,avg_2e-3
1,1,0.00029410245882366295,avg_2e-3
2,2,0.0011862946689061066,avg_2e-3
3,3,0.002696385956925591,avg_2e-3
4,4,0.0054987645050059404,avg_2e-3
5,5,0.00757920678834239,avg_2e-3
6,6,0.009289328875176806,avg_2e-3
7,7,0.01059328253099253,avg_2e-3
8,8,0.011586105110147417,avg_2e-3
9,9,0.012513445068195258,avg_2e-3
10,10,0.01377420220231499,avg_2e-3
11,11,0.014993891430821638,avg_2e-3
12,12,0.016121108668631864,avg_2e-3
13,13,0.01708731619687274,avg_2e-3
14,14,0.018041460849212286,avg_2e-3
15,15,0.01921919006898001,avg_2e-3
16,16,0.02040516460040755,avg_2e-3
17,17,0.02145661528639539,avg_2e-3
18,18,0.022442245804346717,avg_2e-3
19,19,0.023333233662772884,avg_2e-3
20,20,0.02414005950788999,avg_2e-3
21,21,0.024874008310939385,avg_2e-3
22,22,0.0255529141632991,avg_2e-3
23,23,0.026190131287243054,avg_2e-3
24,24,0.02680147991842136,avg_2e-3
25,25,0.027360948850351844,avg_2e-3
26,26,0.02793363937752851,avg_2e-3
27,27,0.028479028674231244,avg_2e-3
28,28,0.028997581611528607,avg_2e-3
29,29,0.02948066781438671,avg_2e-3
30,30,0.02995953186598468,avg_2e-3
0,0,0.0,avg_3e-3
1,1,0.001191237085711834,avg_3e-3
2,2,0.0030069763582534627,avg_3e-3
3,3,0.006285250713610101,avg_3e-3
4,4,0.008518379116271952,avg_3e-3
5,5,0.010927509526860932,avg_3e-3
6,6,0.012938131163121978,avg_3e-3
7,7,0.014600752712562745,avg_3e-3
8,8,0.016503418626964438,avg_3e-3
