,# of features removed,AOPC-global,sorts
0,0,0.0,normal
1,1,0.0157877522177686,normal
2,2,0.0291496020657872,normal
3,3,0.0372617682090418,normal
4,4,0.0428073118100978,normal
5,5,0.0468300360642192,normal
6,6,0.0498202852709387,normal
7,7,0.0524903024320617,normal
8,8,0.0543952998327027,normal
9,9,0.0560205150951994,normal
10,10,0.0573544135843853,normal
11,11,0.0585061717994466,normal
12,12,0.0596616001504551,normal
13,13,0.0611877333017679,normal
14,14,0.0625531317502314,normal
15,15,0.0637945729737608,normal
16,16,0.0649496026713592,normal
17,17,0.0660344438474917,normal
18,18,0.0670447428806795,normal
19,19,0.0679730922476163,normal
20,20,0.0688347204294629,normal
21,21,0.0696566728441693,normal
22,22,0.07045295154782,normal
23,23,0.0711910300722091,normal
24,24,0.0719575316915571,normal
25,25,0.0727022868284146,normal
26,26,0.0734425632787174,normal
27,27,0.0742266959864092,normal
28,28,0.0749799236758322,normal
29,29,0.0757065767147276,normal
30,30,0.0764239992217433,normal
0,0,0.0,reverse
1,1,0.0005668351257474,reverse
2,2,-0.0014985180247078,reverse
3,3,-0.0039218425653819,reverse
4,4,-0.0060853878328682,reverse
5,5,-0.007953314138221,reverse
6,6,-0.0097159639459607,reverse
7,7,-0.0109304383683999,reverse
8,8,-0.0123041129380039,reverse
9,9,-0.0135893732352487,reverse
10,10,-0.0152349009115358,reverse
11,11,-0.0167805536421231,reverse
12,12,-0.0181577653365937,reverse
13,13,-0.0194031371588078,reverse
14,14,-0.0204868112729663,reverse
15,15,-0.0215247320392212,reverse
16,16,-0.0224947348376008,reverse
17,17,-0.0235214500452009,reverse
18,18,-0.0245001518058117,reverse
19,19,-0.0254045544956742,reverse
20,20,-0.0262276222731595,reverse
21,21,-0.0270244613730733,reverse
22,22,-0.0277671708694134,reverse
23,23,-0.0284394571263441,reverse
24,24,-0.0290730061239658,reverse
25,25,-0.0297087340212965,reverse
26,26,-0.0303329901186268,reverse
27,27,-0.0309340936440031,reverse
28,28,-0.0314627197601877,reverse
29,29,-0.03195895488794,reverse
30,30,-0.0324248985176353,reverse
0,0,0.0,baseline
1,1,7.058795470994434e-05,baseline
2,2,0.000139011995221,baseline
3,3,0.0001807528293071,baseline
4,4,0.0002223994421526,baseline
5,5,0.0002800662038097,baseline
6,6,0.0003400452569513,baseline
7,7,0.0003940042263784,baseline
8,8,0.0004393450182367,baseline
9,9,0.0004788821328023,baseline
10,10,0.0005142329980972,baseline
11,11,0.0005531105125416,baseline
12,12,0.000597913438623,baseline
13,13,0.0006503920957724,baseline
14,14,0.00070009785235,baseline
15,15,0.0007439588147952,baseline
16,16,0.0007985973447681,baseline
17,17,0.0008476444172094,baseline
18,18,0.0008914484453324,baseline
19,19,0.0009308415074467,baseline
20,20,0.0009693065438885,baseline
21,21,0.0010145606772502,baseline
22,22,0.0010798417375171,baseline
23,23,0.0011710693841013,baseline
24,24,0.0012709646750448,baseline
25,25,0.0013857689594503,baseline
26,26,0.0015117052087164,baseline
27,27,0.0016985722012105,baseline
28,28,0.0019268143121824,baseline
29,29,0.0021538286792428,baseline
30,30,0.0023978606272757,baseline
0,0,0.0,normal
1,1,0.0157877522177686,normal
2,2,0.0291496020657872,normal
3,3,0.0363161455474129,normal
4,4,0.0417477706968474,normal
5,5,0.0459470851365106,normal
6,6,0.0490634701900456,normal
7,7,0.0512077685727268,normal
8,8,0.0528788337536217,normal
9,9,0.0543146490579715,normal
