,# of features removed,AOPC-global,aggregation
0,0,0.0,root
1,1,0.008013254980915608,root
2,2,0.012867602608066778,root
3,3,0.01660659206470251,root
4,4,0.020558528321676678,root
5,5,0.025051025138009234,root
6,6,0.028763895118172907,root
7,7,0.03166108604054396,root
8,8,0.03399899782382318,root
9,9,0.03606153128733928,root
10,10,0.03782347699407263,root
11,11,0.03942481283901508,root
12,12,0.04088358894885226,root
13,13,0.04220195047403674,root
14,14,0.04348165444652739,root
15,15,0.044650231971191834,root
16,16,0.0457030767227749,root
17,17,0.04694144345970965,root
18,18,0.04814672008211227,root
19,19,0.0493426005194363,root
20,20,0.050447251182157773,root
21,21,0.05150561876746189,root
22,22,0.05251361556365768,root
23,23,0.0535511865379632,root
24,24,0.05457641478851925,root
25,25,0.05554279952535738,root
26,26,0.05649508901231904,root
27,27,0.05743958931142692,root
28,28,0.0583966639353088,root
29,29,0.059312775234824915,root
30,30,0.060224898294925645,root
0,0,0.0,homogenity
1,1,0.008013254980915608,homogenity
2,2,0.012867602608066778,homogenity
3,3,0.01660659206470251,homogenity
4,4,0.019469613744476078,homogenity
5,5,0.021483092773851048,homogenity
6,6,0.024190384768073343,homogenity
7,7,0.026310000160873787,homogenity
8,8,0.028121605386133404,homogenity
9,9,0.02964106863699581,homogenity
10,10,0.03198669276648766,homogenity
11,11,0.0340744272970622,homogenity
12,12,0.03594477152551114,homogenity
13,13,0.037615905723791414,homogenity
14,14,0.039201346012965085,homogenity
15,15,0.04063744281472717,homogenity
16,16,0.04192633398727874,homogenity
17,17,0.04337451976507439,homogenity
18,18,0.044767529213510446,homogenity
19,19,0.04613236919426457,homogenity
20,20,0.04738988801532756,homogenity
21,21,0.04858722665366941,homogenity
22,22,0.04972211006350835,homogenity
23,23,0.05087599376698676,homogenity
24,24,0.052008229728381865,homogenity
25,25,0.05307339081368682,homogenity
26,26,0.054117139882562205,homogenity
27,27,0.05514656693630426,homogenity
28,28,0.05618271129725933,homogenity
29,29,0.05717262101804376,homogenity
30,30,0.05815378131094388,homogenity
0,0,0.0,probabilistic α=0.5
1,1,0.008013254980915608,probabilistic α=0.5
2,2,0.012867602608066778,probabilistic α=0.5
3,3,0.01660659206470251,probabilistic α=0.5
4,4,0.020558528321676678,probabilistic α=0.5
5,5,0.025051025138009234,probabilistic α=0.5
6,6,0.028763895118172907,probabilistic α=0.5
7,7,0.03166108604054396,probabilistic α=0.5
8,8,0.03398772162974887,probabilistic α=0.5
9,9,0.035925622446852205,probabilistic α=0.5
10,10,0.03769992350272075,probabilistic α=0.5
11,11,0.039289176911219956,probabilistic α=0.5
12,12,0.04075838655396446,probabilistic α=0.5
13,13,0.04207334876060925,probabilistic α=0.5
14,14,0.04334767953718132,probabilistic α=0.5
15,15,0.04457157318600707,probabilistic α=0.5
16,16,0.045709771024811496,probabilistic α=0.5
17,17,0.04674786106773792,probabilistic α=0.5
18,18,0.04778899312298788,probabilistic α=0.5
19,19,0.04877287681259446,probabilistic α=0.5
20,20,0.049707808197857084,probabilistic α=0.5
21,21,0.05057544083319022,probabilistic α=0.5
22,22,0.05142649024974152,probabilistic α=0.5
23,23,0.052271218817812305,probabilistic α=0.5
24,24,0.053110203366974834,probabilistic α=0.5
25,25,0.053909507472449575,probabilistic α=0.5
26,26,0.054696941308621294,probabilistic α=0.5
27,27,0.055653721145261965,probabilistic α=0.5
28,28,0.056565307015774086,probabilistic α=0.5
29,29,0.05748816296913629,probabilistic α=0.5
30,30,0.05845382310427962,probabilistic α=0.5
0,0,0.0,probabilistic α=0.95
1,1,0.008013254980915608,probabilistic α=0.95
2,2,0.012867602608066778,probabilistic α=0.95
3,3,0.01660659206470251,probabilistic α=0.95
4,4,0.020558528321676678,probabilistic α=0.95
5,5,0.025051025138009234,probabilistic α=0.95
6,6,0.028763895118172907,probabilistic α=0.95
7,7,0.03166108604054396,probabilistic α=0.95
8,8,0.03399899782382318,probabilistic α=0.95
