# of features removed,AOPC-global,percent
0,0.0,5
1,0.0080132549809156,5
2,0.0130618669252088,5
3,0.017494755323035,5
4,0.0223153675095732,5
5,0.0258136777542459,5
6,0.0284167362743506,5
7,0.03111801151714,5
8,0.0334377161153977,5
9,0.0354465714527231,5
10,0.0371530067517432,5
11,0.0387241988774364,5
12,0.0401132371948058,5
13,0.041409584517784,5
14,0.042584682803483,5
15,0.0436928361214765,5
16,0.0447481440546073,5
17,0.0459127640479331,5
18,0.0470942596735404,5
19,0.0482159770607797,5
20,0.0492544908876033,5
21,0.0502223474492842,5
22,0.0511948434630069,5
23,0.0521466287149276,5
24,0.0531372296758836,5
25,0.0541047077861469,5
26,0.0550696427037788,5
27,0.0559678299285201,5
28,0.0568324932772273,5
29,0.0576811781688352,5
30,0.0584913399025948,5
0,0.0,10
1,0.0080132549809156,10
2,0.0130618669252088,10
3,0.017494755323035,10
4,0.0223153675095732,10
5,0.0258136777542459,10
6,0.0291653736635236,10
7,0.0317730692326664,10
8,0.0338761404226887,10
9,0.0356314311476958,10
10,0.0371369030093755,10
11,0.0384977129935456,10
12,0.0398025778223086,10
13,0.0410349031441964,10
14,0.0422227413752654,10
15,0.0433543431895708,10
16,0.0445013023979966,10
17,0.0457518277145815,10
18,0.046941793673523,10
19,0.0480796616437898,10
20,0.0492068467720049,10
21,0.0502561575537059,10
22,0.0512366233439598,10
23,0.0522033902397246,10
24,0.0533644987395959,10
25,0.0544869701094902,10
26,0.0555851334732296,10
27,0.0566567382252992,10
28,0.0576729166223556,10
29,0.0586416978132211,10
30,0.0595661487713459,10
0,0.0,25
1,0.0080132549809156,25
2,0.0128676026080667,25
3,0.0173490570851785,25
4,0.022198808919288,25
5,0.0264179256360186,25
6,0.0296833004193288,25
7,0.0322262551439959,25
8,0.0343296592718045,25
9,0.0363902608112124,25
10,0.0381437264350062,25
11,0.0397375056075088,25
12,0.0411472246557017,25
13,0.0424991730279075,25
14,0.0437294750945716,25
15,0.0449183593456893,25
16,0.0460383909631168,25
17,0.0471756797840662,25
18,0.0482673567852738,25
19,0.0493107161575213,25
20,0.0505386189104725,25
21,0.0517472756562141,25
22,0.0529150965762867,25
23,0.0540586472741933,25
24,0.0551324013268039,25
25,0.0561592052318197,25
26,0.0572062315426661,25
27,0.058214083242054,25
28,0.0592025782551039,25
29,0.0602094333212651,25
30,0.0611750859042745,25
0,0.0,50
1,0.0080132549809156,50
2,0.0128676026080667,50
3,0.0166065920647025,50
4,0.0205585283216766,50
5,0.0250510251380092,50
6,0.0287638951181729,50
7,0.0317836595876605,50
8,0.0342370077619868,50
9,0.0362810410752422,50
10,0.0380712419488625,50
11,0.0396967651780355,50
12,0.0411386896513703,50
13,0.0424301055516828,50
14,0.0436095410651213,50
15,0.0447489869733939,50
16,0.0458784354665094,50
17,0.0469335903813807,50
18,0.047893343272868,50
19,0.0488664580019433,50
20,0.0497691982727841,50
21,0.0507071606192263,50
22,0.0516065801600258,50
23,0.0524830849080018,50
24,0.0533498376014892,50
25,0.0542070626926624,50
26,0.0550582443261157,50
27,0.0560787402808129,50
28,0.0571061801184318,50
29,0.0580877310720745,50
30,0.0590442339177335,50
0,0.0,75
1,0.0080132549809156,75
2,0.0128676026080667,75
3,0.0166065920647025,75
4,0.0205585283216766,75
5,0.0250510251380092,75
6,0.0287638951181729,75
7,0.0316610860405439,75
8,0.0339877216297488,75
9,0.036056683556228,75
10,0.0378190699657897,75
11,0.039420773063089,75
12,0.0408798599249205,75
13,0.0421861454622113,75
14,0.0433818449816146,75
15,0.0445355218951063,75
16,0.0456758403980814,75
17,0.0468080204304556,75
18,0.0478459862034573,75
19,0.0487987781152689,75
20,0.0497065534571806,75
21,0.0505742431261808,75
22,0.0514253446169499,75
23,0.0522698858530898,75
24,0.0531089237208412,75
25,0.0539325783272182,75
26,0.0547191576872874,75
27,0.05551754608748,75
28,0.0563634206521083,75
29,0.0571841778063582,75
30,0.0581698275315564,75
0,0.0,100
1,0.0080132549809156,100
2,0.0128676026080667,100
3,0.0166065920647025,100
4,0.0205585283216766,100
5,0.0250510251380092,100
6,0.0287638951181729,100
7,0.0316610860405439,100
8,0.0339877216297488,100
9,0.0359256224468522,100
10,0.0376999235027207,100
11,0.0392891769112199,100
12,0.0407583865539644,100
13,0.0420733487606092,100
14,0.0433476795371813,100
15,0.044571573186007,100
16,0.0457097710248114,100
17,0.0467478610677379,100
18,0.0477889931229878,100
19,0.0487728768125944,100
20,0.049707808197857,100
21,0.0505754408331902,100
22,0.0514264902497415,100
23,0.0522712188178123,100
24,0.0531102033669748,100
25,0.0539095074724495,100
26,0.0546969413086212,100
27,0.0556537211452619,100
28,0.056565307015774,100
29,0.0574881629691362,100
30,0.0584538231042796,100
0,0.0,5
1,0.0080132549809156,5
2,0.0130618669252088,5
3,0.017494755323035,5
4,0.0204195885363972,5
5,0.0242338619432659,5
6,0.0270626084363678,5
7,0.0292608376784406,5
8,0.0311384176854341,5
9,0.0332462606286067,5
10,0.0351300352599858,5
11,0.0367642755774933,5
12,0.0382441857311949,5
13,0.0395288032258512,5
14,0.0406954344112584,5
15,0.0420674674682605,5
16,0.0434104932449465,5
17,0.0446389446513638,5
18,0.0457618782957538,5
19,0.0468568604146552,5
20,0.0478873118926855,5
21,0.0488467746594863,5
22,0.0497862174375667,5
23,0.0508259112204678,5
24,0.0518441918456142,5
25,0.0528049500458142,5
26,0.0537468657000789,5
27,0.0546968767077175,5
28,0.0556791056614567,5
29,0.0566596847226781,5
30,0.0575790639591557,5
0,0.0,10
1,0.0080132549809156,10
2,0.0130618669252088,10
3,0.017494755323035,10
4,0.0223153675095732,10
5,0.0258136777542459,10
6,0.0291653736635236,10
7,0.0317730692326664,10
8,0.0338761404226887,10
9,0.0356314311476958,10
10,0.037208843492942,10
11,0.0386285361561086,10
12,0.0400190391042438,10
13,0.0413373154742315,10
14,0.0428585477470641,10
15,0.0442402769409556,10
16,0.0455567973846406,10
17,0.0468046596345461,10
18,0.0479450391389336,10
19,0.0489842023178612,10
20,0.0501315673497347,10
21,0.0512849668419374,10
22,0.0524287625917791,10
23,0.0535034249921673,10
24,0.0545482721187065,10
25,0.0555634403629311,10
26,0.0565221710024514,10
27,0.0574323474432485,10
28,0.0583242215950877,10
29,0.0592129200489345,10
30,0.0600695042406811,10
0,0.0,25
1,0.0080132549809156,25
2,0.0128676026080667,25
3,0.0173490570851785,25
4,0.022198808919288,25
5,0.0264179256360186,25
6,0.0296833004193288,25
7,0.0322262551439959,25
8,0.0343731724876159,25
9,0.0362048409619061,25
10,0.0380501963670289,25
11,0.039651769711863,25
12,0.0414203214210633,25
13,0.0431238476941149,25
14,0.044721819076549,25
15,0.0461951883189508,25
16,0.0475425305588165,25
17,0.0488047827641779,25
18,0.0499980344924051,25
19,0.0511434416080613,25
20,0.0522477724842514,25
21,0.0533520059952872,25
22,0.0544012602497488,25
23,0.0554355683053176,25
24,0.0564070714112919,25
25,0.057399485518294,25
26,0.0583339521667166,25
27,0.0592810437638801,25
28,0.0601842241481078,25
29,0.0610505692795043,25
30,0.0618798405579199,25
0,0.0,50
1,0.0080132549809156,50
2,0.0128676026080667,50
3,0.0166065920647025,50
4,0.0205585283216766,50
5,0.0250510251380092,50
6,0.0287638951181729,50
7,0.0317836595876605,50
8,0.0342370077619868,50
9,0.0363288220222092,50
10,0.0381146791733779,50
11,0.0397365826338413,50
12,0.0411713764517688,50
13,0.042456839379999,50
14,0.0436344926382164,50
15,0.0447723790731705,50
16,0.0461006068551053,50
17,0.0474273242199598,50
18,0.048629864835409,50
19,0.0497841971713754,50
20,0.0508942752446125,50
21,0.0519600849645532,50
22,0.0530398339195962,50
23,0.0540492495745556,50
24,0.0550172721667136,50
25,0.0559607856328608,50
26,0.0569177303525218,50
27,0.0578301580316622,50
28,0.0587505301682799,50
29,0.059630218405045,50
30,0.0604768818247882,50
0,0.0,75
1,0.0080132549809156,75
2,0.0128676026080667,75
3,0.0166065920647025,75
4,0.0205585283216766,75
