,# of features removed,AOPC-global,aggregation
0,0,0.0,probabilistic α=0.5
1,1,0.006631204857759574,probabilistic α=0.5
2,2,0.012204607430233329,probabilistic α=0.5
3,3,0.017008616576171406,probabilistic α=0.5
4,4,0.020902178757283143,probabilistic α=0.5
5,5,0.024234133117029794,probabilistic α=0.5
6,6,0.02721933834409859,probabilistic α=0.5
7,7,0.029988728886991185,probabilistic α=0.5
8,8,0.03263072699509609,probabilistic α=0.5
9,9,0.03502983897909401,probabilistic α=0.5
10,10,0.03729766444198889,probabilistic α=0.5
11,11,0.03946201925974167,probabilistic α=0.5
12,12,0.041487128207131956,probabilistic α=0.5
13,13,0.04337089294549644,probabilistic α=0.5
14,14,0.045172758723930784,probabilistic α=0.5
15,15,0.04687233841034753,probabilistic α=0.5
16,16,0.04849837181119293,probabilistic α=0.5
17,17,0.05007456546121072,probabilistic α=0.5
18,18,0.051547783964617316,probabilistic α=0.5
19,19,0.05297104815376162,probabilistic α=0.5
20,20,0.05431525709135735,probabilistic α=0.5
21,21,0.05562101017239782,probabilistic α=0.5
22,22,0.056906219389801393,probabilistic α=0.5
23,23,0.058164773869902854,probabilistic α=0.5
24,24,0.059387071394147846,probabilistic α=0.5
25,25,0.06055079910216178,probabilistic α=0.5
26,26,0.061692315873567306,probabilistic α=0.5
27,27,0.0627769260333824,probabilistic α=0.5
28,28,0.06383478564442514,probabilistic α=0.5
29,29,0.06485372500749875,probabilistic α=0.5
30,30,0.06584664293062646,probabilistic α=0.5
0,0,0.0,probabilistic α=0.95
1,1,0.006631204857759574,probabilistic α=0.95
2,2,0.012204607430233329,probabilistic α=0.95
3,3,0.017008616576171406,probabilistic α=0.95
4,4,0.020902178757283143,probabilistic α=0.95
5,5,0.024234133117029794,probabilistic α=0.95
6,6,0.02721933834409859,probabilistic α=0.95
7,7,0.029988728886991185,probabilistic α=0.95
8,8,0.03263072699509609,probabilistic α=0.95
9,9,0.03502983897909401,probabilistic α=0.95
10,10,0.03729766444198889,probabilistic α=0.95
11,11,0.03946201925974167,probabilistic α=0.95
12,12,0.041487128207131956,probabilistic α=0.95
13,13,0.04337089294549644,probabilistic α=0.95
14,14,0.045172758723930784,probabilistic α=0.95
15,15,0.04687233841034753,probabilistic α=0.95
16,16,0.04849837181119293,probabilistic α=0.95
17,17,0.05007456546121072,probabilistic α=0.95
18,18,0.051547783964617316,probabilistic α=0.95
19,19,0.05297104815376162,probabilistic α=0.95
20,20,0.05431525709135735,probabilistic α=0.95
21,21,0.05562101017239782,probabilistic α=0.95
22,22,0.056906219389801393,probabilistic α=0.95
23,23,0.058164773869902854,probabilistic α=0.95
24,24,0.059387071394147846,probabilistic α=0.95
25,25,0.06055079910216178,probabilistic α=0.95
26,26,0.061692315873567306,probabilistic α=0.95
27,27,0.0627769260333824,probabilistic α=0.95
28,28,0.06383478564442514,probabilistic α=0.95
29,29,0.06485372500749875,probabilistic α=0.95
30,30,0.06584664293062646,probabilistic α=0.95
0,0,0.0,sum
1,1,0.006631204857759574,sum
2,2,0.012204607430233329,sum
3,3,0.017008616576171406,sum
4,4,0.020902178757283143,sum
5,5,0.024234133117029794,sum
6,6,0.02721933834409859,sum
7,7,0.029988728886991185,sum
8,8,0.03263072699509609,sum
9,9,0.03502983897909401,sum
10,10,0.03729766444198889,sum
11,11,0.03946201925974167,sum
12,12,0.041487128207131956,sum
13,13,0.04337089294549644,sum
14,14,0.045172758723930784,sum
15,15,0.04687233841034753,sum
16,16,0.04849837181119293,sum
17,17,0.05007456546121072,sum
18,18,0.05158733613341438,sum
19,19,0.05300862271411884,sum
20,20,0.05438228147908838,sum
21,21,0.055684987997050156,sum
22,22,0.05696741556990364,sum
23,23,0.05822342020916751,sum
24,24,0.05944337187984191,sum
25,25,0.06060493418455992,sum
26,26,0.06174444595291367,sum
27,27,0.06282719432418067,sum
28,28,0.06388332054588554,sum
29,29,0.06491007882240422,sum
30,30,0.06590117888053498,sum
0,0,0.0,avg
1,1,3.464023391510639e-05,avg
2,2,6.872999813558116e-05,avg
3,3,9.11805487191979e-05,avg
4,4,0.00011027199052668392,avg
5,5,0.0001324013219871362,avg
6,6,0.00015153877089083147,avg
7,7,0.0002006260790558218,avg
8,8,0.000238805096517481,avg
9,9,0.0002703802182543606,avg
10,10,0.00029875476618169023,avg
11,11,0.0003225866115584162,avg
12,12,0.00034308490481169915,avg
13,13,0.00036120313660158084,avg
14,14,0.0003769435606772628,avg
15,15,0.00039072882642195676,avg
16,16,0.00040290084078056603,avg
17,17,0.0004137869030863077,avg
18,18,0.00042352706555988373,avg
19,19,0.000432293478491254,avg
20,20,0.0004402249949529699,avg
21,21,0.000447435625363771,avg
22,22,0.000454027237472487,avg
23,23,0.0004600948048450703,avg
24,24,0.00046567696682784694,avg
25,25,0.000524937985473501,avg
26,26,0.0005900360349791161,avg
27,27,0.0007241518237708184,avg
28,28,0.0009715662352181488,avg
29,29,0.0012294894091993687,avg
30,30,0.0014919300364310182,avg
0,0,0.0,avg_2e-3
1,1,0.0007034072986001834,avg_2e-3
2,2,0.0016254406644741367,avg_2e-3
3,3,0.0029749302560602674,avg_2e-3
4,4,0.003946642350794216,avg_2e-3
5,5,0.004703764980404475,avg_2e-3
6,6,0.0058160050352458964,avg_2e-3
7,7,0.006696493196941748,avg_2e-3
8,8,0.007433356547204799,avg_2e-3
9,9,0.009417850626903704,avg_2e-3
10,10,0.011291621287601817,avg_2e-3
11,11,0.013053096428611433,avg_2e-3
12,12,0.014645342985127534,avg_2e-3
13,13,0.016210561830698113,avg_2e-3
14,14,0.01784767083652555,avg_2e-3
15,15,0.019333923035394406,avg_2e-3
16,16,0.02072315866567839,avg_2e-3
17,17,0.022060970211581682,avg_2e-3
18,18,0.023327464520828355,avg_2e-3
19,19,0.024557441072309946,avg_2e-3
20,20,0.025808607210446977,avg_2e-3
21,21,0.026996657928416747,avg_2e-3
22,22,0.028126001939753346,avg_2e-3
23,23,0.029380987345987323,avg_2e-3
24,24,0.030555359503735634,avg_2e-3
25,25,0.03165897918419664,avg_2e-3
26,26,0.03269881186571192,avg_2e-3
27,27,0.03373881891011169,avg_2e-3
28,28,0.03474757784203522,avg_2e-3
29,29,0.035717670292828824,avg_2e-3
30,30,0.03664698221928387,avg_2e-3
0,0,0.0,avg_3e-3
1,1,0.0007034072986001834,avg_3e-3
2,2,0.0016254406644741367,avg_3e-3
3,3,0.0029749302560602674,avg_3e-3
4,4,0.003915801490757096,avg_3e-3
5,5,0.005198636988632487,avg_3e-3
6,6,0.008100180725524068,avg_3e-3
7,7,0.010621714708974576,avg_3e-3
8,8,0.012846634466445211,avg_3e-3
9,9,0.014753300023869825,avg_3e-3
10,10,0.01656502955450628,avg_3e-3
11,11,0.01842369044419785,avg_3e-3
12,12,0.020098189868690327,avg_3e-3
13,13,0.02166582064266356,avg_3e-3
14,14,0.023112473686462413,avg_3e-3
15,15,0.02449257244199214,avg_3e-3
16,16,0.025877369451685756,avg_3e-3
17,17,0.027170177517668655,avg_3e-3
18,18,0.02838089248109422,avg_3e-3
19,19,0.029728635717645273,avg_3e-3
20,20,0.030971117235924203,avg_3e-3
21,21,0.03219434898508163,avg_3e-3
22,22,0.03336224835722488,avg_3e-3
23,23,0.034466710369764265,avg_3e-3
24,24,0.035509854967184167,avg_3e-3
25,25,0.03655034946577689,avg_3e-3
26,26,0.03792932762137232,avg_3e-3
27,27,0.039417205005218676,avg_3e-3
28,28,0.040866945055595225,avg_3e-3
29,29,0.04253766674615564,avg_3e-3
30,30,0.044173373144192334,avg_3e-3
0,0,0.0,avg_4e-3
1,1,0.0007034072986001834,avg_4e-3
2,2,0.0016254406644741367,avg_4e-3
3,3,0.0029749302560602674,avg_4e-3
4,4,0.004571112353672548,avg_4e-3
5,5,0.007938015133900174,avg_4e-3
6,6,0.010737661326384845,avg_4e-3
7,7,0.013134088462383621,avg_4e-3
8,8,0.015138534395761523,avg_4e-3
9,9,0.017017658495414527,avg_4e-3
10,10,0.01893465977471635,avg_4e-3
11,11,0.020641896132409753,avg_4e-3
12,12,0.02222436921030974,avg_4e-3
13,13,0.023675102962461923,avg_4e-3
14,14,0.025054301379346597,avg_4e-3
15,15,0.026438604233611034,avg_4e-3
16,16,0.027725565165761672,avg_4e-3
17,17,0.02915288127269266,avg_4e-3
18,18,0.030536023181502683,avg_4e-3
19,19,0.031821237838681085,avg_4e-3
20,20,0.03301624103551353,avg_4e-3
21,21,0.034196064221125776,avg_4e-3
22,22,0.03575263854647574,avg_4e-3
23,23,0.037419962386647805,avg_4e-3
24,24,0.039027118394514344,avg_4e-3
25,25,0.04087152451251304,avg_4e-3
26,26,0.04266246320056348,avg_4e-3
27,27,0.04438927823656931,avg_4e-3
28,28,0.04608119466819181,avg_4e-3
29,29,0.047660316671039475,avg_4e-3
30,30,0.049137559834993745,avg_4e-3
