,# of features removed,AOPC-global,percent
0,0,0.0,5
1,1,0.008158949387755193,5
2,2,0.01174807487027906,5
3,3,0.018024746722114602,5
4,4,0.022096688280629606,5
5,5,0.025035323533823473,5
6,6,0.02726554213849864,5
7,7,0.02914199011481657,5
8,8,0.030715828110334926,5
9,9,0.032324364521003,5
10,10,0.03363762955691521,5
11,11,0.034832520140866595,5
12,12,0.0358882607151569,5
13,13,0.03683898666471529,5
14,14,0.03772877958555399,5
15,15,0.03858103130685302,5
16,16,0.03938212746328279,5
17,17,0.04017183256608228,5
18,18,0.041417000575424544,5
19,19,0.042536047896342154,5
20,20,0.04356974331653883,5
21,21,0.04450871557513601,5
22,22,0.045411949999095154,5
23,23,0.04623922471509976,5
24,24,0.04700034278406964,5
25,25,0.047729125892380465,5
26,26,0.04840457483054195,5
27,27,0.04903331971364545,5
28,28,0.04961731888246196,5
29,29,0.05018691286166045,5
30,30,0.05078137331147574,5
0,0,0.0,10
1,1,0.008158949387755193,10
2,2,0.01174807487027906,10
3,3,0.018024746722114602,10
4,4,0.022096688280629606,10
5,5,0.025035323533823473,10
6,6,0.027330591690442295,10
7,7,0.02948418327977763,10
8,8,0.03126326342060247,10
9,9,0.03276476469658793,10
10,10,0.0341486726713798,10
11,11,0.036119103668410535,10
12,12,0.03787870967164454,10
13,13,0.03947963512121017,10
14,14,0.0409664005211496,10
15,15,0.04235265032407688,10
16,16,0.0435744009597481,10
17,17,0.04471906676481804,10
18,18,0.04580034184912485,10
19,19,0.04683493158286327,10
20,20,0.04779733921606038,10
21,21,0.04875007150258566,10
22,22,0.049648403450934,10
23,23,0.050502905591147,10
24,24,0.05131285916467502,10
25,25,0.05208462922935638,10
26,26,0.05287067634755092,10
27,27,0.05361258303554548,10
28,28,0.05430221761575392,10
29,29,0.05494589766581983,10
30,30,0.055548615894029534,10
0,0,0.0,25
1,1,0.008158949387755193,25
2,2,0.016827379762287275,25
3,3,0.021834225391120763,25
4,4,0.02516304971146689,25
5,5,0.02760627347254817,25
6,6,0.029535901455040516,25
7,7,0.03119123177344755,25
8,8,0.03261487764887964,25
9,9,0.03389216004232744,25
10,10,0.03503079164837015,25
11,11,0.03679385280788717,25
12,12,0.038574599969734,25
13,13,0.040166542992589996,25
14,14,0.041591662089785465,25
15,15,0.042904639694863966,25
16,16,0.044139153140397354,25
17,17,0.045296771087295955,25
18,18,0.04638091945192016,25
19,19,0.047400641968678915,25
20,20,0.04840495613256167,25
21,21,0.049341493455475026,25
22,22,0.05027798220007106,25
23,23,0.05113524107777336,25
24,24,0.05198083866816452,25
25,25,0.05278267318837594,25
26,26,0.05355750438776514,25
27,27,0.054312322584630916,25
28,28,0.05506859425851731,25
29,29,0.055794290824588,25
30,30,0.056494444946512,25
0,0,0.0,50
1,1,0.008158949387755193,50
2,2,0.016827379762287275,50
3,3,0.021834225391120763,50
4,4,0.02516304971146689,50
5,5,0.02760627347254817,50
6,6,0.02956996076433029,50
7,7,0.0314785381084164,50
8,8,0.0330773656121989,50
9,9,0.03534888944582664,50
10,10,0.03733708708127423,50
11,11,0.0390819163041905,50
12,12,0.04070203639306569,50
13,13,0.042194137454470385,50
14,14,0.0435692145848375,50
15,15,0.04485219011659512,50
16,16,0.04604804546318365,50
17,17,0.04716204112558578,50
18,18,0.04819797137623234,50
19,19,0.049157976369619716,50
20,20,0.05010842790003457,50
21,21,0.050995999192522554,50
22,22,0.05182760184125028,50
23,23,0.052619862585681375,50
24,24,0.053383933661435554,50
25,25,0.054124588263308016,50
26,26,0.05483529594642724,50
27,27,0.05552718254574386,50
28,28,0.05622042129588783,50
29,29,0.05688243112312144,50
30,30,0.05752299067446921,50
0,0,0.0,75
1,1,0.008158949387755193,75
2,2,0.016827379762287275,75
3,3,0.021834225391120763,75
4,4,0.025513768612194797,75
5,5,0.02957227943440402,75
6,6,0.03271538715242386,75
7,7,0.035248817518446364,75
8,8,0.03739811189126036,75
9,9,0.03926234476882791,75
10,10,0.04091730434931716,75
11,11,0.042396448755950195,75
12,12,0.0437292612785258,75
13,13,0.04495944652339386,75
14,14,0.04611070898114502,75
15,15,0.047234841113133426,75
16,16,0.04829054051874911,75
17,17,0.04927995312250872,75
18,18,0.050204414320685654,75
19,19,0.0511223987622625,75
20,20,0.05197930636921817,75
21,21,0.05278183773128872,75
22,22,0.05353579522615704,75
23,23,0.05426358042028381,75
24,24,0.05496172034180558,75
25,25,0.055633811022992474,75
26,26,0.05629016586966862,75
27,27,0.056950459140604544,75
28,28,0.057588412958283076,75
29,29,0.058229209349347937,75
30,30,0.058849924073312035,75
0,0,0.0,100
1,1,0.008158949387755193,100
2,2,0.016827379762287275,100
3,3,0.021834225391120763,100
4,4,0.025513768612194797,100
5,5,0.02957227943440402,100
6,6,0.03267247239599075,100
7,7,0.03521126710656739,100
8,8,0.03736473374736794,100
9,9,0.03923230443932473,100
10,10,0.04088999495885973,100
11,11,0.042366545494976704,100
12,12,0.04371412892422818,100
13,13,0.04496114893457915,100
14,14,0.04611229789825129,100
15,15,0.04717694301507827,100
16,16,0.04818015387790447,100
17,17,0.049175699072822106,100
18,18,0.05010564732624571,100
19,19,0.051028570117544546,100
20,20,0.051889945755201075,100
21,21,0.05269653896336331,100
22,22,0.053454205100315344,100
23,23,0.05417850066640174,100
24,24,0.05490026759774134,100
25,25,0.055600351679437096,100
26,26,0.05627404282413118,100
27,27,0.056931916650048715,100
28,28,0.05756921295674216,100
29,29,0.058210649347858384,100
30,30,0.05883196278154795,100
0,0,0.0,5
1,1,0.008158949387755193,5
2,2,0.01174807487027906,5
3,3,0.018024746722114602,5
4,4,0.022096688280629606,5
5,5,0.025035323533823473,5
6,6,0.027367244740746588,5
7,7,0.02911232160831663,5
8,8,0.030616257030643784,5
9,9,0.031922345981049476,5
10,10,0.03331025787003596,5
11,11,0.034519241508288036,5
12,12,0.035586906974678936,5
13,13,0.03654785426032354,5
14,14,0.03744311391735395,5
15,15,0.03828818214652565,5
16,16,0.03908283495022653,5
17,17,0.039857092310466136,5
18,18,0.040613324509011804,5
19,19,0.041810951653195094,5
20,20,0.042892991557465295,5
21,21,0.04389692350346982,5
22,22,0.044812838814395885,5
23,23,0.045696426779433086,5
24,24,0.0465086651415477,5
25,25,0.04725844798565892,5
