,# of features removed,AOPC-global,aggregation
0,0,0.0,probabilistic α=0.5
1,1,0.004339284677402602,probabilistic α=0.5
2,2,0.01652808094539115,probabilistic α=0.5
3,3,0.0366000774790943,probabilistic α=0.5
4,4,0.0509037593262809,probabilistic α=0.5
5,5,0.0632623963014663,probabilistic α=0.5
6,6,0.074533321898563,probabilistic α=0.5
7,7,0.08340596231144921,probabilistic α=0.5
8,8,0.09128745644935764,probabilistic α=0.5
9,9,0.09799044844842016,probabilistic α=0.5
10,10,0.10395925817351764,probabilistic α=0.5
11,11,0.10958155485614883,probabilistic α=0.5
12,12,0.11552249951578626,probabilistic α=0.5
13,13,0.12080509612058102,probabilistic α=0.5
14,14,0.12563512870909177,probabilistic α=0.5
15,15,0.13028408417509446,probabilistic α=0.5
16,16,0.13465698620778124,probabilistic α=0.5
17,17,0.1387570347654592,probabilistic α=0.5
18,18,0.14293703854756767,probabilistic α=0.5
19,19,0.14702222638424994,probabilistic α=0.5
20,20,0.15083502738763516,probabilistic α=0.5
21,21,0.15451455741527798,probabilistic α=0.5
22,22,0.15804253313521957,probabilistic α=0.5
23,23,0.16210251656571514,probabilistic α=0.5
24,24,0.16600073466313575,probabilistic α=0.5
25,25,0.16977780397082015,probabilistic α=0.5
26,26,0.17350795960478702,probabilistic α=0.5
27,27,0.177199620757833,probabilistic α=0.5
28,28,0.1808311751293574,probabilistic α=0.5
29,29,0.1846448693935864,probabilistic α=0.5
30,30,0.1884039190710953,probabilistic α=0.5
0,0,0.0,probabilistic α=0.95
1,1,0.004339284677402602,probabilistic α=0.95
2,2,0.02440044996373658,probabilistic α=0.95
3,3,0.04250435424285337,probabilistic α=0.95
4,4,0.05562718073728815,probabilistic α=0.95
5,5,0.06719858081063901,probabilistic α=0.95
6,6,0.07790719433499675,probabilistic α=0.95
7,7,0.08635810069332875,probabilistic α=0.95
8,8,0.09391157945547278,probabilistic α=0.95
9,9,0.10035215915392377,probabilistic α=0.95
10,10,0.10610626790579367,probabilistic α=0.95
11,11,0.11154964711073517,probabilistic α=0.95
12,12,0.11733920005848135,probabilistic α=0.95
13,13,0.1224920323387979,probabilistic α=0.95
14,14,0.12720960251276084,probabilistic α=0.95
15,15,0.13176015336603422,probabilistic α=0.95
16,16,0.13604622779925396,probabilistic α=0.95
17,17,0.14006909626851677,probabilistic α=0.95
18,18,0.14418004418204325,probabilistic α=0.95
19,19,0.14820308173700175,probabilistic α=0.95
20,20,0.15278685859827984,probabilistic α=0.95
21,21,0.15706530357099288,probabilistic α=0.95
22,22,0.1611757811782717,probabilistic α=0.95
23,23,0.16510521260697342,probabilistic α=0.95
24,24,0.16888332286274368,probabilistic α=0.95
25,25,0.17254952339352012,probabilistic α=0.95
26,26,0.17617702275257216,probabilistic α=0.95
27,27,0.17977336022176865,probabilistic α=0.95
28,28,0.18331616495660563,probabilistic α=0.95
29,29,0.18704702622659303,probabilistic α=0.95
30,30,0.19160651582193605,probabilistic α=0.95
0,0,0.0,sum
1,1,0.004339284677402602,sum
2,2,0.02440044996373658,sum
3,3,0.04250435424285337,sum
4,4,0.05562718073728815,sum
5,5,0.06719858081063901,sum
6,6,0.07790719433499675,sum
7,7,0.08635810069332875,sum
8,8,0.09391157945547278,sum
9,9,0.10035215915392377,sum
10,10,0.10699660193633174,sum
11,11,0.11318192616672162,sum
12,12,0.11884591918708423,sum
13,13,0.12389112867250056,sum
14,14,0.1287144989743209,sum
15,15,0.13317099379874678,sum
16,16,0.13737407761827755,sum
17,17,0.14132317665315014,sum
18,18,0.14589982318659553,sum
19,19,0.15050476738567314,sum
20,20,0.15497894016844307,sum
21,21,0.15933269230932445,sum
22,22,0.16355308450934514,sum
23,23,0.16795208175620524,sum
24,24,0.17332506055385377,sum
25,25,0.1784634474309793,sum
26,26,0.18339511335065134,sum
