,# of features removed,AOPC-global,percents-remove
0,0,0.0,5
1,1,0.005319614247221121,5
2,2,0.009125170680162786,5
3,3,0.012051620196917835,5
4,4,0.014603083284442398,5
5,5,0.0167482281013717,5
6,6,0.019520270021293373,5
7,7,0.023040271519111193,5
8,8,0.026208418348320276,5
9,9,0.02920621886161116,5
10,10,0.032230552865666943,5
11,11,0.034969430320215246,5
12,12,0.037577459932935285,5
13,13,0.040044622361378665,5
14,14,0.04437625775606472,5
15,15,0.04837616183394686,5
16,16,0.05246161090791607,5
17,17,0.056093121195888704,5
18,18,0.059342367243022116,5
19,19,0.06226668868544218,5
20,20,0.06491250332382224,5
21,21,0.06731778935871321,5
22,22,0.06951392008622236,5
23,23,0.0715270399197724,5
24,24,0.07337911016663845,5
25,25,0.07508871347143788,5
26,26,0.0766716794944003,5
27,27,0.07814157651572258,5
28,28,0.07951010132867778,5
29,29,0.08078739115410265,5
30,30,0.08198227518433882,5
0,0,0.0,10
1,1,0.004339284677402602,10
2,2,0.009332122401350883,10
3,3,0.02005111508006111,10
4,4,0.027701921697608017,10
5,5,0.04212085537478046,10
6,6,0.05300504874435176,10
7,7,0.061652357643799865,10
8,8,0.06882003866418812,10
9,9,0.07482068513564649,10
10,10,0.08133057658929094,10
11,11,0.08771705984621092,10
12,12,0.09360465871168135,10
13,13,0.09883854269737181,10
14,14,0.10362635768265885,10
15,15,0.10802541890231684,10
16,16,0.11222047168345683,10
17,17,0.11618970737227283,10
18,18,0.11995564633248279,10
19,19,0.12357663292163357,10
20,20,0.12723952934861368,10
21,21,0.13077743118959986,10
22,22,0.13400768939223942,10
23,23,0.13696875941132566,10
24,24,0.13969294382888503,10
25,25,0.14220757559893982,10
26,26,0.14453593834899056,10
27,27,0.14669798947403767,10
28,28,0.14871093362494361,10
29,29,0.1505896814991225,10
30,30,0.15234721983303176,10
0,0,0.0,25
1,1,0.004339284677402602,25
2,2,0.009332122401350883,25
3,3,0.025789594058724857,25
4,4,0.04225537258998534,25
5,5,0.054248731118428234,25
6,6,0.06319613243181281,25
7,7,0.07041851906699335,25
8,8,0.07799181842179641,25
9,9,0.08444825459437462,25
10,10,0.09008291246086197,25
11,11,0.09574003439515104,25
12,12,0.10071531081448219,25
13,13,0.1051672041320533,25
14,14,0.1093352828513949,25
15,15,0.11327016439117098,25
16,16,0.11701463813210494,25
17,17,0.12079428588919722,25
18,18,0.12450699543106902,25
19,19,0.12807722961685836,25
20,20,0.1315948663826252,25
21,21,0.13562937218922874,25
22,22,0.13954478962067152,25
23,23,0.1432858024705302,25
24,24,0.14688838424368317,25
25,25,0.1503706071702135,25
26,26,0.1539282247539538,25
27,27,0.1573966042182686,25
28,28,0.16077895075135012,25
29,29,0.16393581218452308,25
30,30,0.16715089906212632,25
0,0,0.0,50
1,1,0.004339284677402602,50
2,2,0.02440044996373658,50
3,3,0.04250435424285337,50
4,4,0.05562718073728815,50
5,5,0.06719858081063901,50
6,6,0.0759432336802481,50
7,7,0.08352437611877797,50
8,8,0.08986281655845205,50
9,9,0.09560986194321262,50
10,10,0.10055426421724198,50
11,11,0.10498932719271052,50
12,12,0.10909630375392504,50
13,13,0.11388421483240449,50
14,14,0.11819708791202836,50
15,15,0.12221293379283406,50
16,16,0.12692245289314372,50
17,17,0.13133617460459324,50
18,18,0.13565701213562678,50
19,19,0.13981226486278245,50
20,20,0.14376586654611934,50
21,21,0.14788161110473078,50
22,22,0.15203077359727732,50
23,23,0.15602777953468247,50
24,24,0.15991671245969677,50
25,25,0.16374832244528673,50
26,26,0.1674804011328318,50
27,27,0.17100899780312045,50
28,28,0.1748248297742976,50
29,29,0.17858747036576653,50
30,30,0.18236925387532402,50
0,0,0.0,75
1,1,0.004339284677402602,75
2,2,0.01652808094539115,75
3,3,0.0366000774790943,75
4,4,0.0509037593262809,75
5,5,0.0632623963014663,75
6,6,0.074533321898563,75
7,7,0.08340596231144921,75
8,8,0.09128745644935764,75
9,9,0.09799044844842016,75
10,10,0.10395925817351764,75
11,11,0.10958155485614883,75
12,12,0.11485910060429004,75
13,13,0.11957306957065947,75
14,14,0.12391029153920159,75
15,15,0.12799317342202812,75
16,16,0.13250083491077763,75
17,17,0.13672066965162244,75
18,18,0.14083650540162534,75
19,19,0.1446632701853342,75
20,20,0.14906946692024356,75
21,21,0.15328844761290836,75
22,22,0.15730907550311132,75
23,23,0.1611644774663856,75
24,24,0.16489730997906593,75
25,25,0.16858482727634763,75
26,26,0.1721834868080517,75
27,27,0.17587221517247467,75
28,28,0.17974542108156452,75
29,29,0.18355819347471958,75
30,30,0.18753449940357964,75
0,0,0.0,100
1,1,0.004339284677402602,100
2,2,0.01652808094539115,100
3,3,0.0366000774790943,100
4,4,0.0509037593262809,100
5,5,0.0632623963014663,100
6,6,0.074533321898563,100
7,7,0.08340596231144921,100
8,8,0.09128745644935764,100
9,9,0.09799044844842016,100
10,10,0.10395925817351764,100
11,11,0.10958155485614883,100
12,12,0.11552249951578626,100
13,13,0.12080509612058102,100
14,14,0.12563512870909177,100
15,15,0.13028408417509446,100
