,# of features removed,AOPC-global,aggregation
0,0,0.0,Gsq
1,1,0.007563187336304273,Gsq
2,2,0.013493872130227125,Gsq
3,3,0.01755566074793568,Gsq
4,4,0.02141553220245298,Gsq
5,5,0.025348095850329235,Gsq
6,6,0.028631352320219856,Gsq
7,7,0.031634551595307314,Gsq
8,8,0.0347532435748315,Gsq
9,9,0.03795174035960867,Gsq
10,10,0.04083956016055862,Gsq
11,11,0.04347560947745568,Gsq
12,12,0.0459789989846532,Gsq
13,13,0.04823807006234916,Gsq
14,14,0.05035597806343404,Gsq
15,15,0.052195445344082096,Gsq
16,16,0.053860084323566156,Gsq
17,17,0.05538813048520888,Gsq
18,18,0.056787479886865444,Gsq
19,19,0.058080810270291806,Gsq
20,20,0.059324141311951364,Gsq
21,21,0.06055761145707985,Gsq
22,22,0.06177427106388529,Gsq
23,23,0.06290591704479206,Gsq
24,24,0.06394931178209232,Gsq
25,25,0.06509021047883505,Gsq
26,26,0.06617032351687803,Gsq
27,27,0.06720344487979805,Gsq
28,28,0.06816240979524592,Gsq
29,29,0.06915086132571951,Gsq
30,30,0.07009862395815154,Gsq
0,0,0.0,Gh
1,1,0.007563187336304273,Gh
2,2,0.013493872130227125,Gh
3,3,0.01755566074793568,Gh
4,4,0.02141553220245298,Gh
5,5,0.025348095850329235,Gh
6,6,0.028631352320219856,Gh
7,7,0.031634551595307314,Gh
8,8,0.0347532435748315,Gh
9,9,0.03795174035960867,Gh
10,10,0.04083956016055862,Gh
11,11,0.04347560947745568,Gh
12,12,0.0459789989846532,Gh
13,13,0.04823807006234916,Gh
14,14,0.05035597806343404,Gh
15,15,0.052195445344082096,Gh
16,16,0.053860084323566156,Gh
17,17,0.05538813048520888,Gh
18,18,0.056787479886865444,Gh
19,19,0.058080810270291806,Gh
20,20,0.059324141311951364,Gh
21,21,0.06055761145707985,Gh
22,22,0.0617028556417556,Gh
23,23,0.06275409457620619,Gh
24,24,0.06374688857111509,Gh
25,25,0.06469372429338677,Gh
26,26,0.06556861270184339,Gh
27,27,0.0664730562449826,Gh
28,28,0.06733879966807119,Gh
29,29,0.06819966865703993,Gh
30,30,0.0690169555937024,Gh
0,0,0.0,Gpr α=0.5
1,1,0.007563187336304273,Gpr α=0.5
2,2,0.013493872130227125,Gpr α=0.5
3,3,0.01811233602256679,Gpr α=0.5
4,4,0.021860166112205898,Gpr α=0.5
5,5,0.025718624108456666,Gpr α=0.5
6,6,0.02894894797004337,Gpr α=0.5
7,7,0.031912447788902884,Gpr α=0.5
8,8,0.034527219267013,Gpr α=0.5
9,9,0.03687345202051222,Gpr α=0.5
10,10,0.03945353346148059,Gpr α=0.5
11,11,0.04220508500330081,Gpr α=0.5
12,12,0.04465323694059364,Gpr α=0.5
13,13,0.047007005307151,Gpr α=0.5
14,14,0.049206984291915744,Gpr α=0.5
15,15,0.05118769277877073,Gpr α=0.5
16,16,0.052976611604280924,Gpr α=0.5
17,17,0.0546043809372391,Gpr α=0.5
18,18,0.05609807720494551,Gpr α=0.5
19,19,0.05755585973409699,Gpr α=0.5
20,20,0.058948090616601515,Gpr α=0.5
21,21,0.06019105860649666,Gpr α=0.5
22,22,0.061359919616201006,Gpr α=0.5
23,23,0.062465826632948224,Gpr α=0.5
24,24,0.06349954685651076,Gpr α=0.5
25,25,0.0644803009085796,Gpr α=0.5
26,26,0.06540008308019436,Gpr α=0.5
27,27,0.06626518924065919,Gpr α=0.5
28,28,0.06708337343935347,Gpr α=0.5
29,29,0.0678777905584164,Gpr α=0.5
30,30,0.06864894156013526,Gpr α=0.5
0,0,0.0,Gpr α=0.95
1,1,0.007563187336304273,Gpr α=0.95
2,2,0.013493872130227125,Gpr α=0.95
3,3,0.01755566074793568,Gpr α=0.95
4,4,0.02141553220245298,Gpr α=0.95
5,5,0.025348095850329235,Gpr α=0.95
6,6,0.028631352320219856,Gpr α=0.95
7,7,0.031634551595307314,Gpr α=0.95
8,8,0.0347532435748315,Gpr α=0.95
9,9,0.03795174035960867,Gpr α=0.95
10,10,0.04083956016055862,Gpr α=0.95
11,11,0.04347560947745568,Gpr α=0.95
12,12,0.045826028762890436,Gpr α=0.95
13,13,0.048096026284998025,Gpr α=0.95
14,14,0.05022340387123964,Gpr α=0.95
15,15,0.052129717770091684,Gpr α=0.95
16,16,0.053797926509976675,Gpr α=0.95
17,17,0.055329425883485474,Gpr α=0.95
18,18,0.056731865001022216,Gpr α=0.95
19,19,0.05802797612874074,Gpr α=0.95
20,20,0.059308651076217245,Gpr α=0.95
21,21,0.06054282532297001,Gpr α=0.95
22,22,0.06168871238304185,Gpr α=0.95
23,23,0.06282392330898376,Gpr α=0.95
24,24,0.06389224876303544,Gpr α=0.95
25,25,0.06488029726901517,Gpr α=0.95
26,26,0.06582639428049494,Gpr α=0.95
27,27,0.06687179883042867,Gpr α=0.95
28,28,0.06784219981654442,Gpr α=0.95
29,29,0.06877172256124987,Gpr α=0.95
30,30,0.06973442502003926,Gpr α=0.95
0,0,0.0,Gav
1,1,3.4031436466397245e-05,Gav
2,2,5.136053423301655e-05,Gav
3,3,5.993299190470219e-05,Gav
4,4,7.34133820813287e-05,Gav
5,5,0.00021568735666732775,Gav
6,6,0.00042247257055097584,Gav
7,7,0.0007802675270176491,Gav
8,8,0.00108334224697982,Gav
9,9,0.001327289241950749,Gav
10,10,0.002242329327523849,Gav
11,11,0.003009197518406703,Gav
12,12,0.0037038663030461738,Gav
13,13,0.004301413462890071,Gav
14,14,0.00484076789860336,Gav
15,15,0.005312782940191737,Gav
16,16,0.005729380703577883,Gav
17,17,0.006101336095342292,Gav
18,18,0.006459324933499566,Gav
19,19,0.006791442040580351,Gav
20,20,0.007110103485438373,Gav
21,21,0.007400866964827707,Gav
22,22,0.0077915795357186065,Gav
23,23,0.008150695389904998,Gav
24,24,0.0084824127545946,Gav
25,25,0.00878875537389407,Gav
26,26,0.009079489529457321,Gav
27,27,0.00936181779373996,Gav
28,28,0.009634938423883339,Gav
29,29,0.009890262802539447,Gav
30,30,0.010129089535161156,Gav
0,0,0.0,Gav_4e-3
1,1,3.4031436466397245e-05,Gav_4e-3
2,2,0.00031194934422502566,Gav_4e-3
3,3,0.0006349399541682253,Gav_4e-3
4,4,0.0011530639938204447,Gav_4e-3
5,5,0.0028052802404448505,Gav_4e-3
6,6,0.004070637210955505,Gav_4e-3
7,7,0.005079474195160288,Gav_4e-3
8,8,0.00590652673435926,Gav_4e-3
9,9,0.006852721208234741,Gav_4e-3
10,10,0.007658088786836204,Gav_4e-3
11,11,0.008354017624620569,Gav_4e-3
12,12,0.008968947430944806,Gav_4e-3
13,13,0.010012983520097952,Gav_4e-3
14,14,0.01092518176975337,Gav_4e-3
15,15,0.011749515971648583,Gav_4e-3
16,16,0.012510501048751064,Gav_4e-3
17,17,0.014298608104656484,Gav_4e-3
18,18,0.01590805064857348,Gav_4e-3
19,19,0.017362917470493962,Gav_4e-3
20,20,0.018779346921237637,Gav_4e-3
21,21,0.020081694607607545,Gav_4e-3
22,22,0.02129714286290801,Gav_4e-3
23,23,0.0224194502313048,Gav_4e-3
24,24,0.023473223824039158,Gav_4e-3
25,25,0.024454561886060204,Gav_4e-3
26,26,0.025383735065129136,Gav_4e-3
27,27,0.026299632331862995,Gav_4e-3
28,28,0.027205417143429948,Gav_4e-3
29,29,0.028096843126039647,Gav_4e-3
30,30,0.028939629338800295,Gav_4e-3
0,0,0.0,reverse
1,1,-0.00024157051075468297,reverse
2,2,-0.000531579741864995,reverse
3,3,-0.00035593445258698484,reverse
4,4,-0.0003417625049564841,reverse
5,5,-0.0004009321933644738,reverse
6,6,-0.00045195621925150437,reverse
7,7,-0.0004992724347621887,reverse
8,8,-0.0005547714983651125,reverse
9,9,-0.0005894566099379396,reverse
10,10,-0.0006198830079146004,reverse
11,11,-0.0006465581357585991,reverse
12,12,-0.000672299661719884,reverse
13,13,-0.0007608453619067985,reverse
14,14,-0.0008735794926338213,reverse
15,15,-0.0009782189328076242,reverse
16,16,-0.0010724774450789581,reverse
17,17,-0.0011626977540948043,reverse
18,18,-0.0012331193619979429,reverse
19,19,-0.0012977402175905998,reverse
20,20,-0.001357040706939716,reverse
21,21,-0.0014163439363246882,reverse
22,22,-0.0014673867029383605,reverse
23,23,-0.0015218663379380623,reverse
24,24,-0.0015740215730486043,reverse
25,25,-0.0016416197777982837,reverse
26,26,-0.0017051867801976721,reverse
27,27,-0.0017682837962605458,reverse
28,28,-0.0018277734125593539,reverse
29,29,-0.0018863519386393133,reverse
30,30,-0.001944813465933192,reverse
0,0,0.0,baseline
1,1,4.23549158433977e-05,baseline
2,2,0.000130842482588805,baseline
3,3,0.00017615679608298573,baseline
4,4,0.00020704034972441896,baseline
5,5,0.00023897319764084018,baseline
6,6,0.0002683892968628007,baseline
7,7,0.00029412835577871774,baseline
8,8,0.00031525914321164065,baseline
9,9,0.0003331857824864531,baseline
10,10,0.0003714475269647339,baseline
11,11,0.00042432810982847934,baseline
12,12,0.00046903560571132764,baseline
13,13,0.0005077888911559843,baseline
14,14,0.0005434785850290963,baseline
15,15,0.0005792224057744681,baseline
16,16,0.0006199692324479391,baseline
17,17,0.0006596794003300468,baseline
18,18,0.0006952596876828399,baseline
19,19,0.0007333373113821049,baseline
20,20,0.0007686617072250327,baseline
21,21,0.0008006359372286447,baseline
22,22,0.0008319968621031889,baseline
23,23,0.0008943055401931833,baseline
24,24,0.0009542136784912209,baseline
25,25,0.0010095562669637135,baseline
26,26,0.0010630745908375447,baseline
27,27,0.001124414242574987,baseline
28,28,0.0011843259545499733,baseline
29,29,0.0015180368259834667,baseline
30,30,0.0018575531519798418,baseline
0,0,0.0,Gsq
1,1,0.007563187336304273,Gsq
2,2,0.013493872130227125,Gsq
3,3,0.01755566074793568,Gsq
4,4,0.02146587589475781,Gsq
5,5,0.025390048927249925,Gsq
6,6,0.028667312100437593,Gsq
7,7,0.03200122699154489,Gsq
8,8,0.035079177260376015,Gsq
9,9,0.03824508067659873,Gsq
10,10,0.041106233176004134,Gsq
11,11,0.04372005974161406,Gsq
