,# of features removed,AOPC-global,optimization
0,0,0.0,0.1
1,1,0.007561535336497024,0.1
2,2,0.013491608330997966,0.1
3,3,0.018225184985657533,0.1
4,4,0.02199405564565591,0.1
5,5,0.02582393918044899,0.1
6,6,0.029033784429077093,0.1
7,7,0.031981065743540524,0.1
8,8,0.034583222186198165,0.1
9,9,0.03692155559981898,0.1
10,10,0.039495133791687856,0.1
11,11,0.042241257302428774,0.1
12,12,0.044684816289042036,0.1
13,13,0.04695527966192027,0.1
14,14,0.04916830038854309,0.1
15,15,0.0511592307862681,0.1
16,16,0.05295716888621769,0.1
17,17,0.05454596986834598,0.1
18,18,0.0560031914766884,0.1
19,19,0.057339469627445426,0.1
20,20,0.05862150203559184,0.1
21,21,0.059861141510479145,0.1
22,22,0.06101949286443712,0.1
23,23,0.06211572629224014,0.1
24,24,0.0631798087701405,0.1
25,25,0.0641775291517675,0.1
26,26,0.06511077892303654,0.1
27,27,0.06598577031335691,0.1
28,28,0.0668319673519348,0.1
29,29,0.06763329426536249,0.1
30,30,0.06840643460853295,0.1
0,0,0.0,topk-0.1
1,1,0.007561535336497024,topk-0.1
2,2,0.013491608330997966,topk-0.1
3,3,0.018225184985657533,topk-0.1
4,4,0.02252943892949979,topk-0.1
5,5,0.026270091916985556,topk-0.1
6,6,0.029416201060394154,topk-0.1
7,7,0.03231568029594295,topk-0.1
8,8,0.035353652039069386,topk-0.1
9,9,0.03807041133010805,topk-0.1
10,10,0.04053954809195065,topk-0.1
11,11,0.04319863707766967,topk-0.1
12,12,0.045568551466187476,topk-0.1
13,13,0.04777589089784103,topk-0.1
14,14,0.0499342042087358,topk-0.1
15,15,0.051812403945029804,topk-0.1
16,16,0.053559487546684395,topk-0.1
17,17,0.055160958036539004,topk-0.1
18,18,0.056629421191575526,topk-0.1
19,19,0.05798625626719748,topk-0.1
20,20,0.059291508069256,topk-0.1
21,21,0.0605006927244313,topk-0.1
22,22,0.06163123750386962,topk-0.1
23,23,0.06268169642193287,topk-0.1
24,24,0.06368115352575895,topk-0.1
25,25,0.06463505508349443,topk-0.1
26,26,0.06554520636796637,topk-0.1
27,27,0.06640144782318423,topk-0.1
28,28,0.06724754514634487,topk-0.1
29,29,0.06807216540736266,topk-0.1
30,30,0.06884941593107527,topk-0.1
0,0,0.0,0.5
1,1,0.007561535336497024,0.5
2,2,0.013491608330997966,0.5
3,3,0.01755441970686976,0.5
4,4,0.021414126735869697,0.5
5,5,0.02534066508896048,0.5
6,6,0.02901638165082689,0.5
7,7,0.032729563565309094,0.5
8,8,0.03600021656493074,0.5
9,9,0.03906947034694717,0.5
10,10,0.04185154534824401,0.5
11,11,0.04440130122927191,0.5
12,12,0.046839158521331276,0.5
13,13,0.049101954849736895,0.5
14,14,0.05117186389717194,0.5
15,15,0.05310399988061904,0.5
16,16,0.05492604714908878,0.5
17,17,0.05656634140544443,0.5
18,18,0.05802355406851236,0.5
19,19,0.05937184595364302,0.5
20,20,0.060665488271575044,0.5
21,21,0.06183600705620549,0.5
22,22,0.06310033724382154,0.5
23,23,0.06426443959501027,0.5
24,24,0.06537066562901643,0.5
25,25,0.06659925771993948,0.5
26,26,0.06784356734443009,0.5
27,27,0.06906656640539117,0.5
28,28,0.0702261868477077,0.5
29,29,0.07133476357853875,0.5
30,30,0.07239277990477314,0.5
0,0,0.0,topk-0.5
1,1,0.007561535336497024,topk-0.5
2,2,0.013491608330997966,topk-0.5
3,3,0.01755441970686976,topk-0.5
4,4,0.021414126735869697,topk-0.5
5,5,0.02534066508896048,topk-0.5
6,6,0.02913878334458081,topk-0.5
7,7,0.032836665047343776,topk-0.5
8,8,0.0360954178822949,topk-0.5
9,9,0.039155151532574914,topk-0.5
10,10,0.0418962823147201,topk-0.5
11,11,0.04444231011520833,topk-0.5
12,12,0.046877012877580275,topk-0.5
13,13,0.04913710532339668,topk-0.5
14,14,0.05120467100592107,topk-0.5
15,15,0.053134756545071354,topk-0.5
16,16,0.05482774788352016,topk-0.5
17,17,0.05644180865026068,topk-0.5
18,18,0.0579055756688646,topk-0.5
19,19,0.05930738119304065,topk-0.5
20,20,0.06064946205784402,topk-0.5
21,21,0.061903173689962586,topk-0.5
22,22,0.06316235046993003,topk-0.5
23,23,0.0645270937408882,topk-0.5
24,24,0.06578606550519735,topk-0.5
25,25,0.06694529708613914,topk-0.5
26,26,0.06803954831896417,topk-0.5
27,27,0.06909035594464277,topk-0.5
28,28,0.07009553019022592,topk-0.5
29,29,0.0711993819355618,topk-0.5
30,30,0.07225564840259856,topk-0.5
0,0,0.0,topk-0.5
1,1,0.007561535336497024,topk-0.5
2,2,0.013491608330997966,topk-0.5
3,3,0.01755441970686976,topk-0.5
4,4,0.021414126735869697,topk-0.5
5,5,0.02534066508896048,topk-0.5
6,6,0.02913878334458081,topk-0.5
7,7,0.032836665047343776,topk-0.5
8,8,0.0360954178822949,topk-0.5
9,9,0.039155151532574914,topk-0.5
