,# of features removed,AOPC-global,percent
0,0,0.0,5
1,1,0.0001375385299880684,5
2,2,0.0005657022406070495,5
3,3,0.0012865309623282186,5
4,4,0.0018795658477886064,5
5,5,0.002520278966787053,5
6,6,0.0033363185498706824,5
7,7,0.004443601899560192,5
8,8,0.005285645499013308,5
9,9,0.006066548181895425,5
10,10,0.006705468350510693,5
11,11,0.007243258670693041,5
12,12,0.007698331401426135,5
13,13,0.008352467807649628,5
14,14,0.008921773679701223,5
15,15,0.00942020268848447,5
16,16,0.00986942699893347,5
17,17,0.010268740133096994,5
18,18,0.010627759438259258,5
19,19,0.010951315418336747,5
20,20,0.011244160350154334,5
21,21,0.01151088933549646,5
22,22,0.011783085508188093,5
23,23,0.012033026955897466,5
24,24,0.012302869221498003,5
25,25,0.012576220821254005,5
26,26,0.012842357314465112,5
27,27,0.013104594792200056,5
28,28,0.013350522000532973,5
29,29,0.013579423588498084,5
30,30,0.013822259755559242,5
0,0,0.0,10
1,1,0.0001375385299880684,10
2,2,0.0013378260651491847,10
3,3,0.002203828160668661,10
4,4,0.0029529064044151168,10
5,5,0.003833354043431094,10
6,6,0.004800603269010785,10
7,7,0.005660124942345081,10
8,8,0.006505362546593739,10
9,9,0.007511287246474369,10
10,10,0.008530306301860236,10
11,11,0.009383983042790736,10
12,12,0.010154831296679602,10
13,13,0.010843965549712913,10
14,14,0.011441234075712767,10
15,15,0.011964487370941948,10
16,16,0.01242630968712634,10
17,17,0.012827230020804216,10
18,18,0.013225247864484757,10
19,19,0.013713148303786254,10
20,20,0.014157659786521079,10
21,21,0.014726277268589077,10
22,22,0.015245647871608814,10
23,23,0.01572842001378875,10
24,24,0.016172572282504672,10
25,25,0.016582727876559948,10
26,26,0.016962913566329674,10
27,27,0.017315943053574024,10
28,28,0.017654636821970816,10
29,29,0.01797077052863726,10
30,30,0.018266740519012687,10
0,0,0.0,25
1,1,0.0001375385299880684,25
2,2,0.0011610461473407971,25
3,3,0.0025926550877789743,25
4,4,0.0036643071143930145,25
5,5,0.00456997262083135,25
6,6,0.0053912442363478015,25
7,7,0.006191260832371494,25
8,8,0.007067543987543114,25
9,9,0.008017250543328806,25
10,10,0.008851585513257597,25
11,11,0.00972652193072483,25
12,12,0.010471021039387999,25
13,13,0.011120204339720632,25
14,14,0.011740685627220648,25
15,15,0.012318676876696869,25
16,16,0.012875272551109734,25
17,17,0.013370039961730326,25
18,18,0.01381326834805764,25
19,19,0.014212533506167796,25
20,20,0.014573843893539698,25
21,21,0.01490268012352728,25
22,22,0.015250495784048778,25
23,23,0.015610908068691413,25
24,24,0.01595289021478223,25
25,25,0.01628812246392962,25
26,26,0.01659084575009746,25
27,27,0.016904001902232724,25
28,28,0.017213018176504197,25
29,29,0.017579408702710395,25
30,30,0.018033828711474627,25
0,0,0.0,50
1,1,0.001466492161035059,50
2,2,0.0020470152347054574,50
3,3,0.003257131903302469,50
4,4,0.004212678890895447,50
