,# of features removed,AOPC-global,aggregation
0,0,0.0,$\mathcal{G}_{\mathsf{sq}}$
1,1,0.02277841877005359,$\mathcal{G}_{\mathsf{sq}}$
2,2,0.029373257970802733,$\mathcal{G}_{\mathsf{sq}}$
3,3,0.03454325430708312,$\mathcal{G}_{\mathsf{sq}}$
4,4,0.04585100315360859,$\mathcal{G}_{\mathsf{sq}}$
5,5,0.05431219161176969,$\mathcal{G}_{\mathsf{sq}}$
6,6,0.06112424932639753,$\mathcal{G}_{\mathsf{sq}}$
7,7,0.06652826510284798,$\mathcal{G}_{\mathsf{sq}}$
8,8,0.07161551529479133,$\mathcal{G}_{\mathsf{sq}}$
9,9,0.07594920316075185,$\mathcal{G}_{\mathsf{sq}}$
10,10,0.07933901905587705,$\mathcal{G}_{\mathsf{sq}}$
11,11,0.08203697059098267,$\mathcal{G}_{\mathsf{sq}}$
12,12,0.0847161726155711,$\mathcal{G}_{\mathsf{sq}}$
13,13,0.08758630028938767,$\mathcal{G}_{\mathsf{sq}}$
14,14,0.0905448371881747,$\mathcal{G}_{\mathsf{sq}}$
15,15,0.0938740676660604,$\mathcal{G}_{\mathsf{sq}}$
16,16,0.09716464038050343,$\mathcal{G}_{\mathsf{sq}}$
17,17,0.10069414818335627,$\mathcal{G}_{\mathsf{sq}}$
18,18,0.10387259906554723,$\mathcal{G}_{\mathsf{sq}}$
19,19,0.10634489561717812,$\mathcal{G}_{\mathsf{sq}}$
20,20,0.10881470680924761,$\mathcal{G}_{\mathsf{sq}}$
0,0,0.0,$\mathcal{G}_{\mathsf{h}}$
1,1,0.02277841877005359,$\mathcal{G}_{\mathsf{h}}$
2,2,0.04267288294010343,$\mathcal{G}_{\mathsf{h}}$
3,3,0.0540143128077067,$\mathcal{G}_{\mathsf{h}}$
4,4,0.061991218230070255,$\mathcal{G}_{\mathsf{h}}$
5,5,0.06869545880661349,$\mathcal{G}_{\mathsf{h}}$
6,6,0.07478726602484,$\mathcal{G}_{\mathsf{h}}$
7,7,0.08017349882561484,$\mathcal{G}_{\mathsf{h}}$
8,8,0.08558358923629077,$\mathcal{G}_{\mathsf{h}}$
9,9,0.08961311638426202,$\mathcal{G}_{\mathsf{h}}$
10,10,0.09336489660556514,$\mathcal{G}_{\mathsf{h}}$
11,11,0.09754892053767,$\mathcal{G}_{\mathsf{h}}$
12,12,0.10145410785626903,$\mathcal{G}_{\mathsf{h}}$
13,13,0.10501267095232177,$\mathcal{G}_{\mathsf{h}}$
14,14,0.10828094045896845,$\mathcal{G}_{\mathsf{h}}$
15,15,0.11150995737769373,$\mathcal{G}_{\mathsf{h}}$
16,16,0.1145955581335015,$\mathcal{G}_{\mathsf{h}}$
17,17,0.11736837096910471,$\mathcal{G}_{\mathsf{h}}$
18,18,0.12002719383120146,$\mathcal{G}_{\mathsf{h}}$
19,19,0.12264782366841329,$\mathcal{G}_{\mathsf{h}}$
20,20,0.12499791785976358,$\mathcal{G}_{\mathsf{h}}$
0,0,0.0,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
1,1,0.02277841877005359,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
2,2,0.04267288294010343,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
3,3,0.0540143128077067,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
4,4,0.0630159910570252,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
5,5,0.07040911537185819,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
6,6,0.07712863520395005,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
7,7,0.08340475222988254,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
8,8,0.08910419578581585,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
9,9,0.09338349884351045,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
10,10,0.09735633050916513,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
11,11,0.10086377384408024,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
12,12,0.10420191149479141,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
13,13,0.10755783696239878,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
14,14,0.11079388145937659,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
15,15,0.11385109715965576,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
16,16,0.1168742985050251,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
17,17,0.1196635129200913,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
18,18,0.1225364498467847,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
19,19,0.12536808318038103,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
20,20,0.12798562821908915,$\mathcal{G}_{\mathsf{pr}}$ α=0.5
0,0,0.0,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
1,1,0.02277841877005359,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
2,2,0.029373257970802733,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
3,3,0.03454325430708312,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
4,4,0.04585100315360859,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
5,5,0.05431219161176969,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
6,6,0.06112424932639753,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
7,7,0.06652826510284798,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
8,8,0.07161551529479133,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
9,9,0.07594920316075185,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
10,10,0.08028205057044967,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
11,11,0.0837386122912042,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
12,12,0.08707752963212395,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
13,13,0.08977723696534126,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
14,14,0.09288658644740713,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
15,15,0.09606937466070069,$\mathcal{G}_{\mathsf{pr}}$ α=0.95
