,# of features removed,AOPC-global,aggregation
0,0,0.0,probabilistic α=0.5
1,1,0.002148746702774529,probabilistic α=0.5
2,2,0.003976168035606679,probabilistic α=0.5
3,3,0.0060584009127985766,probabilistic α=0.5
4,4,0.007426155329962017,probabilistic α=0.5
5,5,0.008683377529242264,probabilistic α=0.5
6,6,0.009807293924028706,probabilistic α=0.5
7,7,0.011004055681607445,probabilistic α=0.5
8,8,0.012217704357983975,probabilistic α=0.5
9,9,0.013306481311878166,probabilistic α=0.5
10,10,0.01441943531597371,probabilistic α=0.5
11,11,0.015399925044558796,probabilistic α=0.5
12,12,0.01635408122216705,probabilistic α=0.5
13,13,0.017285285764169996,probabilistic α=0.5
14,14,0.018251999185955502,probabilistic α=0.5
15,15,0.019164667173721332,probabilistic α=0.5
16,16,0.02002293696063051,probabilistic α=0.5
17,17,0.020872205746063684,probabilistic α=0.5
18,18,0.021642678317071815,probabilistic α=0.5
19,19,0.022407138534088798,probabilistic α=0.5
20,20,0.02320470015500139,probabilistic α=0.5
21,21,0.023984088573439342,probabilistic α=0.5
22,22,0.024820044469830944,probabilistic α=0.5
23,23,0.025628534209640865,probabilistic α=0.5
24,24,0.026463400300988225,probabilistic α=0.5
25,25,0.027243459861950474,probabilistic α=0.5
26,26,0.027971038637728336,probabilistic α=0.5
27,27,0.02867743580629604,probabilistic α=0.5
28,28,0.029385346977730632,probabilistic α=0.5
29,29,0.030145692862282622,probabilistic α=0.5
30,30,0.030896494357368413,probabilistic α=0.5
0,0,0.0,probabilistic α=0.95
1,1,0.002148746702774529,probabilistic α=0.95
2,2,0.003976168035606679,probabilistic α=0.95
3,3,0.0060584009127985766,probabilistic α=0.95
4,4,0.007719355116896395,probabilistic α=0.95
5,5,0.008927710685020912,probabilistic α=0.95
6,6,0.010016722343267547,probabilistic α=0.95
7,7,0.011187305548441431,probabilistic α=0.95
8,8,0.012262990036185714,probabilistic α=0.95
9,9,0.013242492852960207,probabilistic α=0.95
10,10,0.014281506600428585,probabilistic α=0.95
11,11,0.015255398951767881,probabilistic α=0.95
12,12,0.0161570422206573,probabilistic α=0.95
13,13,0.01698249184885705,probabilistic α=0.95
14,14,0.017879451751643332,probabilistic α=0.95
15,15,0.01874110296065747,probabilistic α=0.95
16,16,0.01964311258103962,probabilistic α=0.95
17,17,0.020494930748264466,probabilistic α=0.95
18,18,0.0212663848269281,probabilistic α=0.95
19,19,0.022038391781330206,probabilistic α=0.95
20,20,0.022804527708702328,probabilistic α=0.95
21,21,0.02360210578379024,probabilistic α=0.95
22,22,0.024229121960714382,probabilistic α=0.95
23,23,0.02485319419364415,probabilistic α=0.95
24,24,0.02553783366419565,probabilistic α=0.95
25,25,0.026209427789236482,probabilistic α=0.95
26,26,0.026915267661197086,probabilistic α=0.95
27,27,0.027668583146246897,probabilistic α=0.95
28,28,0.02839023411244087,probabilistic α=0.95
29,29,0.029071216099599565,probabilistic α=0.95
30,30,0.02971396365557583,probabilistic α=0.95
0,0,0.0,sum
1,1,0.002148746702774529,sum
2,2,0.003976168035606679,sum
3,3,0.0060584009127985766,sum
4,4,0.007719355116896395,sum
5,5,0.008927710685020912,sum
6,6,0.010016722343267547,sum
7,7,0.011187305548441431,sum
8,8,0.012262990036185714,sum
9,9,0.013242492852960207,sum
10,10,0.014281506600428585,sum
11,11,0.015255398951767881,sum
12,12,0.0161570422206573,sum
13,13,0.01698249184885705,sum
14,14,0.017879451751643332,sum
15,15,0.01874110296065747,sum
16,16,0.01964311258103962,sum
17,17,0.020494930748264466,sum
18,18,0.0212663848269281,sum
19,19,0.022038391781330206,sum
20,20,0.022626046653253143,sum
21,21,0.023224839674287904,sum
22,22,0.023868258725538237,sum
23,23,0.024507366926600344,sum
24,24,0.025205839487833597,sum
25,25,0.025890202619657583,sum
26,26,0.0265480901969507,sum
27,27,0.027240426499453813,sum
28,28,0.027976841487950994,sum
29,29,0.028671603229259355,sum
30,30,0.02936701495279302,sum
0,0,0.0,avg
1,1,0.00010640692175485113,avg
2,2,0.0001418832149473085,avg
3,3,0.0001612657754173192,avg
4,4,0.00017557815437360268,avg
