,# of features removed,AOPC-global,alpha
0,0,0.0,0.95
1,1,0.009230342653239257,0.95
2,2,0.01589328011634442,0.95
3,3,0.021080466729179848,0.95
4,4,0.02684110852847992,0.95
5,5,0.030922939017613508,0.95
6,6,0.03476237216142474,0.95
7,7,0.03936007681225762,0.95
8,8,0.043234140586820145,0.95
9,9,0.046485779561342574,0.95
10,10,0.04930778548971173,0.95
11,11,0.05176312453359789,0.95
12,12,0.053935089592381975,0.95
13,13,0.05620361989801873,0.95
14,14,0.058381935851858864,0.95
15,15,0.06036719383843494,0.95
16,16,0.062237123298349344,0.95
17,17,0.06395253928688516,0.95
18,18,0.06556219106252964,0.95
19,19,0.06704111697559743,0.95
20,20,0.06840012483669922,0.95
21,21,0.06970915709958411,0.95
22,22,0.07105930137200524,0.95
23,23,0.0723333344887922,0.95
24,24,0.07352781827894822,0.95
25,25,0.07468764569365584,0.95
26,26,0.07583178989020994,0.95
27,27,0.0770939929607108,0.95
28,28,0.07832517056386716,0.95
29,29,0.07965673554029208,0.95
30,30,0.08092165846298477,0.95
0,0,0.0,0.8
1,1,0.009230342653239257,0.8
2,2,0.01589328011634442,0.8
3,3,0.021080466729179848,0.8
4,4,0.02684110852847992,0.8
5,5,0.030922939017613508,0.8
6,6,0.03476237216142474,0.8
7,7,0.037914230038677645,0.8
8,8,0.040510405168648504,0.8
9,9,0.0440344176849881,0.8
10,10,0.04707927469302584,0.8
11,11,0.049720322969969165,0.8
12,12,0.05204942661057084,0.8
13,13,0.0544526471291941,0.8
14,14,0.05674769460095587,0.8
15,15,0.058835092665713386,0.8
16,16,0.060733303689617914,0.8
17,17,0.06253226521197214,0.8
18,18,0.06421666825471731,0.8
19,19,0.06576287030817572,0.8
20,20,0.06718274705820235,0.8
21,21,0.06854711467465528,0.8
22,22,0.06983058570405727,0.8
23,23,0.07115581530700872,0.8
24,24,0.0723973998644361,0.8
25,25,0.07360070491047109,0.8
26,26,0.07478510617306908,0.8
27,27,0.07593985811411344,0.8
28,28,0.07703555403472438,0.8
29,29,0.07809802633468148,0.8
30,30,0.07911585066390217,0.8
0,0,0.0,0.65
1,1,0.009230342653239257,0.65
2,2,0.01589328011634442,0.65
3,3,0.021080466729179848,0.65
4,4,0.02684110852847992,0.65
5,5,0.030922939017613508,0.65
6,6,0.03476237216142474,0.65
7,7,0.037914230038677645,0.65
8,8,0.040510405168648504,0.65
9,9,0.0440344176849881,0.65
10,10,0.04707927469302584,0.65
11,11,0.049720322969969165,0.65
12,12,0.05204942661057084,0.65
13,13,0.0544526471291941,0.65
14,14,0.05674769460095587,0.65
15,15,0.058835092665713386,0.65
16,16,0.060733303689617914,0.65
17,17,0.06253226521197214,0.65
18,18,0.06421666825471731,0.65
19,19,0.06576287030817572,0.65
20,20,0.06718274705820235,0.65
21,21,0.06854711467465528,0.65
22,22,0.06983058570405727,0.65
23,23,0.07103040635883409,0.65
24,24,0.07227700727418844,0.65
25,25,0.07348494280446373,0.65
26,26,0.0746603876110777,0.65
27,27,0.07577318622860833,0.65
28,28,0.076874629455616,0.65
29,29,0.07794246590821004,0.65
30,30,0.07894530860559866,0.65
0,0,0.0,0.5
1,1,0.009230342653239257,0.5
2,2,0.01589328011634442,0.5
3,3,0.021080466729179848,0.5
4,4,0.02684110852847992,0.5
5,5,0.030922939017613508,0.5
6,6,0.034149708777898864,0.5
7,7,0.037378149578092504,0.5
8,8,0.040033889203683934,0.5
9,9,0.04232426573387853,0.5
10,10,0.044290696534377616,0.5
11,11,0.04602980317727611,0.5
12,12,0.047901677594571215,0.5
13,13,0.04969127420775993,0.5
14,14,0.052303746540950644,0.5
15,15,0.054649566876263565,0.5
16,16,0.056793985299547496,0.5
17,17,0.0588117978435723,0.5
18,18,0.060649025738793085,0.5
19,19,0.06232450948123425,0.5
20,20,0.06390811769921047,0.5
21,21,0.06542133210470848,0.5
22,22,0.06684070672410815,0.5
23,23,0.06816510566971619,0.5
24,24,0.06944145206507511,0.5
25,25,0.07067805218409576,0.5
26,26,0.07184515586166655,0.5
27,27,0.07299661966619282,0.5
28,28,0.07419380656776653,0.5
29,29,0.07531520989236266,0.5
30,30,0.07640280278381088,0.5
0,0,0.0,0.95
1,1,0.009230342653239257,0.95
2,2,0.01589328011634442,0.95
3,3,0.021080466729179848,0.95
4,4,0.02684110852847992,0.95
5,5,0.030922939017613508,0.95
6,6,0.03476237216142474,0.95
7,7,0.037914230038677645,0.95
8,8,0.04194894345474905,0.95
9,9,0.04532910214247859,0.95
10,10,0.048256260563471744,0.95
11,11,0.05116284790066767,0.95
12,12,0.05372363622200747,0.95
13,13,0.056007270339813835,0.95
14,14,0.05819867626420096,0.95
15,15,0.060240891277300944,0.95
16,16,0.06211825029963499,0.95
17,17,0.06384027034365494,0.95
18,18,0.06545583101104838,0.95
19,19,0.06694007492669024,0.95
20,20,0.06830389431393045,0.95
21,21,0.06960303987884021,0.95
22,22,0.07086579153325444,0.95
23,23,0.07210214753565708,0.95
24,24,0.07330036664210443,0.95
25,25,0.07449707132194763,0.95
26,26,0.07570424317293022,0.95
27,27,0.07700231323417521,0.95
28,28,0.0782421783010811,0.95
29,29,0.07953120520740599,0.95
30,30,0.08075518878577666,0.95
0,0,0.0,0.8
1,1,0.009230342653239257,0.8
2,2,0.01589328011634442,0.8
3,3,0.021080466729179848,0.8
4,4,0.02684110852847992,0.8
5,5,0.030922939017613508,0.8
6,6,0.03476237216142474,0.8
7,7,0.037914230038677645,0.8
8,8,0.040510405168648504,0.8
9,9,0.0440344176849881,0.8
10,10,0.04707927469302584,0.8
11,11,0.050083944186092265,0.8
12,12,0.05272772510086094,0.8
13,13,0.055082495727320616,0.8
14,14,0.05733555329254062,0.8
15,15,0.05943171349136938,0.8
16,16,0.06135667120699352,0.8
17,17,0.06312100120060465,0.8
18,18,0.06473142891913952,0.8
19,19,0.06620279250256336,0.8
20,20,0.06760172057666677,0.8
21,21,0.06893278312963397,0.8
22,22,0.07022467638183975,0.8
23,23,0.07148774551555136,0.8
24,24,0.07271054070280294,0.8
25,25,0.07387281554356871,0.8
26,26,0.07496972100858033,0.8
27,27,0.07607245690899066,0.8
28,28,0.0771914187121468,0.8
29,29,0.07840237511575907,0.8
30,30,0.07953690920950617,0.8
0,0,0.0,0.65
1,1,0.009230342653239257,0.65
2,2,0.01589328011634442,0.65
3,3,0.021080466729179848,0.65
4,4,0.02684110852847992,0.65
5,5,0.030922939017613508,0.65
6,6,0.034149708777898864,0.65
7,7,0.037378149578092504,0.65
8,8,0.040033889203683934,0.65
9,9,0.04232426573387853,0.65
10,10,0.04466680103464722,0.65
11,11,0.04670672012295222,0.65
12,12,0.04852652400596455,0.65
13,13,0.051181380424916836,0.65
14,14,0.05369451234363043,0.65
15,15,0.05601823760176607,0.65
16,16,0.05814398801677865,0.65
17,17,0.06008680040984618,0.65
18,18,0.06185692290684202,0.65
19,19,0.06347201179088073,0.65
20,20,0.06499473954445617,0.65
21,21,0.06644430123525112,0.65
22,22,0.06784438935243008,0.65
23,23,0.06919110719342425,0.65
24,24,0.07050576791356092,0.65
25,25,0.07175284170775907,0.65
26,26,0.07292826472224513,0.65
27,27,0.0740212107473972,0.65
28,28,0.07505936322907393,0.65
29,29,0.07610783977089007,0.65
30,30,0.07710866328035998,0.65
0,0,0.0,0.5
1,1,0.009230342653239257,0.5
2,2,0.01589328011634442,0.5
3,3,0.021080466729179848,0.5
4,4,0.024508227737505994,0.5
5,5,0.028978871691801907,0.5
6,6,0.03248336535577463,0.5
7,7,0.0359200990837338,0.5
8,8,0.03873784431980953,0.5
9,9,0.04115782533839156,0.5
10,10,0.043230296174844016,0.5
11,11,0.045389924001465944,0.5
12,12,0.04731101989382337,0.5
13,13,0.04914280634277979,0.5
14,14,0.050804104269722025,0.5
15,15,0.05230661551951188,0.5
16,16,0.053700824545998276,0.5
17,17,0.05589047935410915,0.5
18,18,0.05788146085403852,0.5
19,19,0.059695322840717414,0.5
20,20,0.06139789292525301,0.5
21,21,0.06302564518956723,0.5
22,22,0.06457613925582936,0.5
23,23,0.0660590341841819,0.5
24,24,0.06745802206749558,0.5
25,25,0.06882231685577317,0.5
26,26,0.07010627782774019,0.5
27,27,0.07130000909912458,0.5
28,28,0.07243199612039691,0.5
29,29,0.07350917200839353,0.5
30,30,0.07451928935215485,0.5
0,0,0.0,0.95
1,1,0.009230342653239257,0.95
2,2,0.01589328011634442,0.95
3,3,0.021080466729179848,0.95
4,4,0.02684110852847992,0.95
5,5,0.030922939017613508,0.95
6,6,0.03476237216142474,0.95
7,7,0.037914230038677645,0.95
8,8,0.04194894345474905,0.95
9,9,0.04532910214247859,0.95
10,10,0.04819923721438035,0.95
11,11,0.05106445327944343,0.95
12,12,0.05363281041780048,0.95
13,13,0.0559229320930502,0.95
14,14,0.05811996056722157,0.95
15,15,0.060167095311382764,0.95
16,16,0.06202977377389775,0.95
17,17,0.06375670918045866,0.95
18,18,0.06538693406967121,0.95
19,19,0.06692530621978036,0.95
20,20,0.06833810346266757,0.95
21,21,0.06978442127559657,0.95
22,22,0.0711312931925389,0.95
23,23,0.07242792207448044,0.95
24,24,0.07381226555917182,0.95
25,25,0.0751251116500564,0.95
26,26,0.07639784697668771,0.95
27,27,0.07765198609799108,0.95
28,28,0.07886269532148257,0.95
29,29,0.0801984184922031,0.95
30,30,0.08146729796480749,0.95
0,0,0.0,0.8
1,1,0.009230342653239257,0.8
2,2,0.01589328011634442,0.8
3,3,0.021080466729179848,0.8
4,4,0.02684110852847992,0.8
5,5,0.030922939017613508,0.8
6,6,0.03476237216142474,0.8
7,7,0.037914230038677645,0.8
8,8,0.040510405168648504,0.8
9,9,0.0440344176849881,0.8
10,10,0.04702225134393445,0.8
11,11,0.04966805156663539,0.8
12,12,0.05234382422136229,0.8
13,13,0.054726016339214735,0.8
14,14,0.05700283919697513,0.8
15,15,0.05911979402677673,0.8
16,16,0.061044078447209715,0.8
17,17,0.06282577470525329,0.8
18,18,0.06450499614579244,0.8
19,19,0.06603827900470553,0.8
20,20,0.06749331563878677,0.8
21,21,0.06884356650157678,0.8
22,22,0.07013933873761115,0.8
23,23,0.07136330135942325,0.8
24,24,0.07263372959179665,0.8
25,25,0.07386561032636033,0.8
26,26,0.07507646120264853,0.8
27,27,0.07637779267302472,0.8
28,28,0.0776324396008254,0.8
29,29,0.078822173770579,0.8
30,30,0.07997030312194663,0.8
0,0,0.0,0.65
1,1,0.009230342653239257,0.65
2,2,0.01589328011634442,0.65
3,3,0.021080466729179848,0.65
4,4,0.02684110852847992,0.65
5,5,0.030922939017613508,0.65
6,6,0.034149708777898864,0.65
7,7,0.037378149578092504,0.65
8,8,0.040033889203683934,0.65
9,9,0.04225761983938149,0.65
10,10,0.044230109357562136,0.65
11,11,0.045974264931861915,0.65
12,12,0.04785041152188119,0.65
13,13,0.05055356168969657,0.65
14,14,0.05310854819075818,0.65
15,15,0.05546889620844834,0.65
16,16,0.05760793932407711,0.65
17,17,0.0595805322000725,0.65
18,18,0.061430555877726424,0.65
19,19,0.06311756075004282,0.65
20,20,0.06467268500408017,0.65
21,21,0.06615114635026594,0.65
22,22,0.06756398033200947,0.65
23,23,0.06889524955405497,0.65
24,24,0.07018078882257374,0.65
25,25,0.07150701343287677,0.65
26,26,0.07275571488288285,0.65
27,27,0.07398294508429101,0.65
28,28,0.07516668168608662,0.65
29,29,0.0763071800139006,0.65
30,30,0.07739800095614473,0.65
0,0,0.0,0.5
1,1,0.009230342653239257,0.5
2,2,0.01589328011634442,0.5
3,3,0.021080466729179848,0.5
4,4,0.02684110852847992,0.5
5,5,0.030922939017613508,0.5
6,6,0.034149708777898864,0.5
7,7,0.037378149578092504,0.5
8,8,0.040033889203683934,0.5
9,9,0.04225761983938149,0.5
10,10,0.044230109357562136,0.5
11,11,0.045974264931861915,0.5
12,12,0.04785041152188119,0.5
13,13,0.0496436699974049,0.5
14,14,0.051271577014038804,0.5
15,15,0.05274487121730886,0.5
16,16,0.0550441510971223,0.5
17,17,0.05715917665239296,0.5
