,# of features removed,AOPC-global,optimization
0,0,0.0,0.1
1,1,0.002164595688530681,0.1
2,2,0.0039973000349695425,0.1
3,3,0.006082195108727303,0.1
4,4,0.007744763229961436,0.1
5,5,0.008954207862190646,0.1
6,6,0.010043914781178873,0.1
7,7,0.010935284431021493,0.1
8,8,0.011733175728078991,0.1
9,9,0.012602371542760598,0.1
10,10,0.013554324638471988,0.1
11,11,0.014530107020028958,0.1
12,12,0.015454346366061644,0.1
13,13,0.016444252265724203,0.1
14,14,0.017419013174461446,0.1
15,15,0.018360398321016994,0.1
16,16,0.019291935775923464,0.1
17,17,0.020131175323107618,0.1
18,18,0.02093204484068401,0.1
19,19,0.021791951250546462,0.1
20,20,0.02261587639447858,0.1
21,21,0.023466712371773255,0.1
22,22,0.02430732702135157,0.1
23,23,0.025131583812880675,0.1
24,24,0.02589969055476159,0.1
25,25,0.026621800010242554,0.1
26,26,0.027374730559435654,0.1
27,27,0.028093259715822917,0.1
28,28,0.028863994257547206,0.1
29,29,0.02963196581322399,0.1
30,30,0.03037157651313083,0.1
0,0,0.0,0.5
1,1,0.002164595688530681,0.5
2,2,0.0039973000349695425,0.5
3,3,0.005396997671777667,0.5
4,4,0.007196605280401729,0.5
5,5,0.00849740957089089,0.5
6,6,0.009623669200321717,0.5
7,7,0.01057163011604992,0.5
8,8,0.011617560158849306,0.5
9,9,0.012572650691058068,0.5
10,10,0.013582338155478067,0.5
11,11,0.014574572590490534,0.5
12,12,0.015517783057534021,0.5
13,13,0.016377646477940194,0.5
14,14,0.016968495489085956,0.5
15,15,0.017654074453116057,0.5
16,16,0.01831159704586494,0.5
17,17,0.018901067035333667,0.5
18,18,0.01949709715030847,0.5
19,19,0.020170672326147533,0.5
20,20,0.020912014350404795,0.5
21,21,0.021610853301678497,0.5
22,22,0.022318785512763215,0.5
23,23,0.023064375737477175,0.5
24,24,0.02372010687793933,0.5
25,25,0.02434443179113965,0.5
26,26,0.02498713171386368,0.5
27,27,0.025666442180839334,0.5
28,28,0.026332777501430895,0.5
29,29,0.02696383282133132,0.5
30,30,0.027599620986294,0.5
0,0,0.0,topk-0.1
1,1,0.002164595688530681,topk-0.1
2,2,0.0039973000349695425,topk-0.1
3,3,0.006082195108727303,topk-0.1
4,4,0.007451562587046839,topk-0.1
5,5,0.00870987399309515,topk-0.1
6,6,0.00983448575052559,topk-0.1
7,7,0.010851244704877019,topk-0.1
8,8,0.011930887570543383,topk-0.1
9,9,0.013069982965984564,topk-0.1
10,10,0.014058422307660067,topk-0.1
11,11,0.014982411639821558,topk-0.1
12,12,0.015838393453480433,topk-0.1
13,13,0.0167478510063619,topk-0.1
14,14,0.01770237199905663,topk-0.1
15,15,0.018639145236271217,topk-0.1
16,16,0.01955428581380979,topk-0.1
17,17,0.02037895035888915,topk-0.1
18,18,0.021263254794625795,topk-0.1
19,19,0.022171123217880798,topk-0.1
20,20,0.023037739334161405,topk-0.1
21,21,0.02388969252300049,topk-0.1
22,22,0.024711916731221098,topk-0.1
23,23,0.025526263781147533,topk-0.1
24,24,0.02632708918768118,topk-0.1
25,25,0.02708056600464922,topk-0.1
26,26,0.02782915811008188,topk-0.1
27,27,0.028544525399897974,topk-0.1
28,28,0.029237797410161057,topk-0.1
29,29,0.029917438299260475,topk-0.1
30,30,0.030641824773813935,topk-0.1
0,0,0.0,topk-0.5
1,1,0.002164595688530681,topk-0.5
2,2,0.0035319800509123304,topk-0.5
3,3,0.005048007683734758,topk-0.5
4,4,0.0069174132899674015,topk-0.5
5,5,0.008264749578862285,topk-0.5
6,6,0.009344736503071532,topk-0.5
7,7,0.010327564005956007,topk-0.5
8,8,0.011196787009869525,topk-0.5
9,9,0.012143239582374676,topk-0.5
10,10,0.013191964420311347,topk-0.5
11,11,0.014178138504105537,topk-0.5
12,12,0.015067846703892877,topk-0.5
13,13,0.015959848435273417,topk-0.5
14,14,0.016819244379208398,topk-0.5
15,15,0.01774908590493586,topk-0.5
16,16,0.018573630983267503,topk-0.5
17,17,0.019356214813629223,topk-0.5
18,18,0.02020104559353434,topk-0.5
19,19,0.021041749686152567,topk-0.5
20,20,0.021939767310697626,topk-0.5
21,21,0.022868699161528352,topk-0.5
22,22,0.023790265794398777,topk-0.5
23,23,0.024525226467407804,topk-0.5
24,24,0.025240689012560314,topk-0.5
25,25,0.02592058064905069,topk-0.5
26,26,0.02655545704290617,topk-0.5
27,27,0.027227468896586653,topk-0.5
28,28,0.027902188806509163,topk-0.5
29,29,0.028533124522859662,topk-0.5
30,30,0.02909560742663149,topk-0.5
0,0,0.0,desired-0.1
1,1,0.002164595688530681,desired-0.1
2,2,0.0039973000349695425,desired-0.1
3,3,0.006082195108727303,desired-0.1
4,4,0.007451562587046839,desired-0.1
5,5,0.00879593418115319,desired-0.1
6,6,0.009976666132671173,desired-0.1
7,7,0.011063256203234005,desired-0.1
8,8,0.012249548567318856,desired-0.1
9,9,0.013259906727675564,desired-0.1
10,10,0.014298601361651307,desired-0.1
11,11,0.01538335949249399,desired-0.1
12,12,0.01640243904284552,desired-0.1
13,13,0.017442236438667096,desired-0.1
14,14,0.018409304593979,desired-0.1
15,15,0.019368365592797903,desired-0.1
16,16,0.020297141908558195,desired-0.1
17,17,0.021218393724415845,desired-0.1
18,18,0.02212201490028685,desired-0.1
19,19,0.022973769700624293,desired-0.1
20,20,0.023792973165027306,desired-0.1
21,21,0.02463950400470409,desired-0.1
22,22,0.02542853596633774,desired-0.1
23,23,0.02616417376946519,desired-0.1
24,24,0.026849537516185393,desired-0.1
25,25,0.027518709484387092,desired-0.1
26,26,0.02817988985758962,desired-0.1
27,27,0.028845782755325122,desired-0.1
28,28,0.029482597711146006,desired-0.1
29,29,0.030084517172376965,desired-0.1
30,30,0.030650488473148763,desired-0.1
0,0,0.0,desired-0.5
1,1,0.002164595688530681,desired-0.5
2,2,0.0035319800509123304,desired-0.5
3,3,0.005048007683734758,desired-0.5
4,4,0.0069174132899674015,desired-0.5
5,5,0.008264749578862285,desired-0.5
6,6,0.009599971883781033,desired-0.5
7,7,0.010706114256900118,desired-0.5
8,8,0.011837963149765488,desired-0.5
