,# of features removed,AOPC-global,optimization
0,0,0.0,0.1
1,1,0.009230342653239257,0.1
2,2,0.01589328011634442,0.1
3,3,0.021080466729179848,0.1
4,4,0.02684110852847992,0.1
5,5,0.030922939017613508,0.1
6,6,0.034149708777898864,0.1
7,7,0.037378149578092504,0.1
8,8,0.040033889203683934,0.1
9,9,0.04232426573387853,0.1
10,10,0.044290696534377616,0.1
11,11,0.04602980317727611,0.1
12,12,0.047901677594571215,0.1
13,13,0.04969127420775993,0.1
14,14,0.052303746540950644,0.1
15,15,0.054649566876263565,0.1
16,16,0.056793985299547496,0.1
17,17,0.0588117978435723,0.1
18,18,0.060649025738793085,0.1
19,19,0.06232450948123425,0.1
20,20,0.06390811769921047,0.1
21,21,0.06542133210470848,0.1
22,22,0.06684070672410815,0.1
23,23,0.06816510566971619,0.1
24,24,0.06944145206507511,0.1
25,25,0.07067805218409576,0.1
26,26,0.07184515586166655,0.1
27,27,0.07299661966619282,0.1
28,28,0.07419380656776653,0.1
29,29,0.07531520989236266,0.1
30,30,0.07640280278381088,0.1
0,0,0.0,0.5
1,1,0.009230342653239257,0.5
2,2,0.01589328011634442,0.5
3,3,0.021080466729179848,0.5
4,4,0.02684110852847992,0.5
5,5,0.03281189608462094,0.5
6,6,0.03807744838084844,0.5
7,7,0.042260768504253365,0.5
8,8,0.04581253320192748,0.5
9,9,0.0488458822232723,0.5
10,10,0.051476850387818816,0.5
11,11,0.053762450388115335,0.5
12,12,0.05612739517154478,0.5
13,13,0.058382539740107764,0.5
14,14,0.060458928773824416,0.5
15,15,0.06236094147042192,0.5
16,16,0.0641135916578665,0.5
17,17,0.06585844150327039,0.5
18,18,0.06751041068525038,0.5
19,19,0.069228729370029,0.5
20,20,0.07082998519404816,0.5
21,21,0.07236853078122636,0.5
22,22,0.07402632765442421,0.5
23,23,0.07564769856223177,0.5
24,24,0.07723704206164539,0.5
25,25,0.07878342442368408,0.5
26,26,0.08023468789400531,0.5
27,27,0.08165045717153466,0.5
28,28,0.08301403208309771,0.5
29,29,0.08431715874607468,0.5
30,30,0.08556071561564312,0.5
0,0,0.0,topk-0.1
1,1,0.009230342653239257,topk-0.1
2,2,0.01589328011634442,topk-0.1
3,3,0.021080466729179848,topk-0.1
4,4,0.02684110852847992,topk-0.1
5,5,0.030922939017613508,topk-0.1
6,6,0.034149708777898864,topk-0.1
7,7,0.037378149578092504,topk-0.1
8,8,0.040033889203683934,topk-0.1
9,9,0.04225761983938149,topk-0.1
10,10,0.044230109357562136,topk-0.1
11,11,0.04630641941895755,topk-0.1
12,12,0.048157015663815625,topk-0.1
13,13,0.049928373843486876,topk-0.1
14,14,0.05153730060371531,topk-0.1
15,15,0.05299398708263058,topk-0.1
16,16,0.055278613088013344,topk-0.1
17,17,0.05738061297712338,topk-0.1
18,18,0.059293166391630944,topk-0.1
19,19,0.061036443101430214,topk-0.1
20,20,0.0626906681958777,topk-0.1
21,21,0.06419583402085106,topk-0.1
22,22,0.06563419580535393,topk-0.1
23,23,0.06701422461760605,topk-0.1
24,24,0.06834193994745823,topk-0.1
25,25,0.06960802736443551,topk-0.1
26,26,0.07080733393350691,topk-0.1
27,27,0.07198855718624327,topk-0.1
28,28,0.07310889881084329,topk-0.1
29,29,0.07418362099269703,topk-0.1
30,30,0.07520705711559796,topk-0.1
0,0,0.0,topk-0.5
1,1,0.009230342653239257,topk-0.5
2,2,0.01589328011634442,topk-0.5
3,3,0.021080466729179848,topk-0.5
4,4,0.02684110852847992,topk-0.5
5,5,0.03281189608462094,topk-0.5
6,6,0.03807744838084844,topk-0.5
7,7,0.042260768504253365,topk-0.5
8,8,0.04581253320192748,topk-0.5
9,9,0.0488458822232723,topk-0.5
10,10,0.051476850387818816,topk-0.5
11,11,0.05412484843540616,topk-0.5
12,12,0.056461916445967084,topk-0.5
13,13,0.0585957573203358,topk-0.5
14,14,0.06065256924046766,topk-0.5
15,15,0.06266625843025787,topk-0.5
16,16,0.06452432071026117,topk-0.5
17,17,0.06624635227497647,topk-0.5
18,18,0.06786606232841345,topk-0.5
19,19,0.06941016052918732,topk-0.5
20,20,0.07088786209247341,topk-0.5
21,21,0.0722750532406739,topk-0.5
22,22,0.0737775256102203,topk-0.5
23,23,0.07537420134367963,topk-0.5
24,24,0.07691342639263414,topk-0.5
25,25,0.07835417532866468,topk-0.5
26,26,0.07972204294963901,topk-0.5
27,27,0.0810192417810198,topk-0.5
28,28,0.08233258672462071,topk-0.5
29,29,0.08361541811005833,topk-0.5
30,30,0.08485304182960646,topk-0.5
0,0,0.0,desired-0.1
1,1,0.009230342653239257,desired-0.1
2,2,0.01589328011634442,desired-0.1
3,3,0.021080466729179848,desired-0.1
4,4,0.024508227737505994,desired-0.1
5,5,0.027798890484180088,desired-0.1
6,6,0.030433727525407846,desired-0.1
7,7,0.03257245454766508,desired-0.1
8,8,0.03433786539157724,desired-0.1
9,9,0.03591666767928141,desired-0.1
10,10,0.03729727659227125,desired-0.1
11,11,0.038856831371578526,desired-0.1
12,12,0.040360662423802415,desired-0.1
13,13,0.04170338498332595,desired-0.1
14,14,0.04292371154072916,desired-0.1
15,15,0.044007077999147215,desired-0.1
16,16,0.045025594148862404,desired-0.1
17,17,0.0467661230407965,desired-0.1
18,18,0.04833957022108914,desired-0.1
19,19,0.04979659351700781,desired-0.1
20,20,0.05115559944012419,desired-0.1
21,21,0.05239320190759908,desired-0.1
22,22,0.05354625078374866,desired-0.1
23,23,0.054603850533508615,desired-0.1
24,24,0.055600714156043576,desired-0.1
25,25,0.05652467004511187,desired-0.1
26,26,0.05738264783321913,desired-0.1
27,27,0.05822862131177447,desired-0.1
28,28,0.059023531965737834,desired-0.1
29,29,0.059770529215027395,desired-0.1
30,30,0.06047857627718154,desired-0.1
0,0,0.0,masking-0.1
1,1,0.009230342653239257,masking-0.1
2,2,0.01589328011634442,masking-0.1
3,3,0.021080466729179848,masking-0.1
4,4,0.02684110852847992,masking-0.1
5,5,0.03175075210708192,masking-0.1
6,6,0.03547192623811195,masking-0.1
